Date time,Threshold 1 count,Threshold 1 area,Threshold 2 count,Threshold 2 area
2024-11-13T15:00:07.487,32827613.512482323,3198,0.0,0
2024-11-13T15:00:07.487,32827613.512482315,3198,0.0,0
2024-11-13T15:01:44.478,29032335.10919824,2837,0.0,0
2024-11-13T15:03:21.472,27861004.17286556,2709,0.0,0
2024-11-13T15:04:58.463,45493828.79864109,4317,7565572.463947405,649
2024-11-13T15:06:35.455,31606157.073694862,3078,0.0,0
2024-11-13T15:08:12.416,26740115.341655176,2608,0.0,0
2024-11-13T15:09:49.408,22047612.456660487,2167,0.0,0
2024-11-13T15:11:26.400,38412628.58890035,3733,553091.2999818071,50
2024-11-13T15:13:03.392,18674392.654839765,1829,0.0,0
2024-11-13T15:14:40.384,21157783.633709233,2075,0.0,0
2024-11-13T15:16:17.345,25882404.272493973,2527,0.0,0
2024-11-13T15:17:54.369,26717196.802285746,2607,0.0,0
2024-11-13T15:19:31.361,20826910.495194703,2044,0.0,0
2024-11-13T15:21:08.386,33008138.768525515,3204,55370.03464347031,5
2024-11-13T15:22:45.410,27429727.026908256,2675,0.0,0
2024-11-13T15:24:22.402,34116218.703717686,3315,22037.354397281284,2
2024-11-13T15:25:59.426,32929719.601094563,3195,198671.99856196094,18
2024-11-13T15:27:36.385,32591907.939154845,3163,231907.79442089755,21
2024-11-13T15:29:13.377,32643985.134494044,3182,0.0,0
2024-11-13T15:30:50.337,35600617.25717413,3461,22024.21094756452,2
2024-11-13T15:32:27.297,30406501.589809146,2961,55117.41268471356,5
2024-11-13T15:34:04.259,28274170.89749133,2763,0.0,0
2024-11-13T15:41:05.155,22785918.06176596,2228,0.0,0
2024-11-13T15:42:42.114,21777939.395763043,2122,0.0,0
2024-11-13T15:44:19.757,20276032.37733008,1975,309354.4081521048,28
2024-11-13T15:45:56.358,21921428.22151285,2141,11001.770396698495,1
2024-11-13T15:47:32.995,23558255.74235585,2299,0.0,0
2024-11-13T15:49:09.956,26759506.239843443,2603,276214.13989380613,25
2024-11-13T15:50:46.917,22442904.254029367,2189,232181.95061709147,21
2024-11-13T15:52:23.908,21543195.061801817,2104,0.0,0
2024-11-13T15:54:00.869,27326442.901097782,2656,209867.5111239322,19
2024-11-13T15:55:37.860,20170219.46350007,1969,0.0,0
2024-11-13T15:57:14.821,26251952.180367135,2563,0.0,0
2024-11-13T15:58:51.782,28709955.509010065,2800,0.0,0
2024-11-13T16:08:33.637,29534373.242856275,2893,0.0,0
2024-11-13T16:10:10.628,27170201.077967413,2651,88321.12582978132,8
2024-11-13T16:24:43.272,21594760.992158886,2109,22020.545933546513,2
2024-11-13T16:26:20.268,31095225.03071813,3024,533442.1809852624,48
2024-11-13T16:27:57.260,27038522.20700741,2636,210058.040543933,19
2024-11-13T16:29:34.251,25467622.897661593,2476,222277.61886364623,20
2024-11-13T16:31:11.239,33198899.36275746,3200,2773770.2045926787,243
2024-11-13T16:32:48.232,30139907.450502563,2908,2085536.0659422767,185
2024-11-13T16:34:25.222,23929972.708016902,2325,232343.05068032106,21
2024-11-13T16:36:02.214,29998898.26731292,2901,367389.1821078647,33
2024-11-13T16:37:39.174,32783905.703280807,3148,3292301.168576039,285
2024-11-13T16:39:16.135,34983088.405348055,3353,4047860.8078741822,348
2024-11-13T16:40:53.949,28833776.11871132,2786,1501069.4067650808,134
2024-11-13T16:42:30.542,30515772.729912758,2956,1205787.1008116445,108
2024-11-13T16:44:07.154,28083230.933116928,2728,77395.23228934174,7
2024-11-13T16:45:43.976,22012055.29463556,2143,132357.67608957877,12
2024-11-13T16:47:20.935,23763692.80605809,2313,1128731.731650581,101
2024-11-13T16:48:57.896,22337252.94774358,2163,1326652.2835393231,118
2024-11-13T16:50:34.856,27764502.865089558,2675,2216916.7621595752,197
2024-11-13T16:52:11.816,22764216.762141857,2217,331788.04171396757,30
2024-11-13T16:53:48.777,20217912.242842324,1972,11006.48585237411,1
2024-11-13T16:55:25.737,22409235.98621702,2181,22012.66748082611,2
2024-11-13T16:57:02.697,28208041.785490863,2740,33048.34017412373,3
2024-11-13T16:58:39.658,37406121.6269388,3589,3868682.3755118987,335
2024-11-13T17:00:16.617,35192400.76649067,3375,4395924.071944018,379
2024-11-13T17:01:53.577,34999985.972514436,3372,2752642.8451180975,243
2024-11-13T17:03:30.538,40158322.12203995,3847,4108325.1410260396,360
2024-11-13T17:05:06.899,91480567.74780749,7791,44162593.44188176,3227
2024-11-13T17:05:25.450,98859676.8895485,8318,48387975.49192666,3458
2024-11-13T17:05:44.810,95452758.1740938,7968,45697302.408884555,3170
2024-11-13T17:06:05.609,92304713.10116991,7783,43320721.15859662,3052
2024-11-13T17:06:26.378,93503069.63451551,7936,42510834.244716816,3020
2024-11-13T17:06:47.146,92681130.39208966,7888,42108013.72607081,3017
2024-11-13T17:07:07.914,94420547.56778373,8029,42173204.039653264,3004
2024-11-13T17:07:28.714,94770557.97756064,8041,42900359.09399053,3050
2024-11-13T17:07:49.482,93607587.64378817,8047,41197329.537869446,3011
2024-11-13T17:08:10.250,92671110.32565205,8032,42154445.82363679,3170
2024-11-13T17:08:31.183,91200026.73403627,7853,41663407.86762033,3084
2024-11-13T17:08:51.786,88739443.20630254,7693,39100120.37601597,2910
2024-11-13T17:09:12.552,88288550.55545725,7633,37961501.90390307,2783
2024-11-13T17:09:33.323,85463129.52443632,7468,35915370.98991019,2686
2024-11-13T17:09:54.885,83191264.03214657,7321,33946922.00882271,2566
2024-11-13T17:10:14.859,79710441.49676855,7093,30628491.48006226,2356
2024-11-13T17:10:35.624,79972737.04541497,7117,30353936.107386656,2327
2024-11-13T17:10:56.394,80123047.15306586,7176,29499512.809306208,2288
2024-11-13T17:11:17.161,80090393.11185405,7174,29386069.045755547,2279
2024-11-13T17:11:37.929,81129604.41272748,7306,28616087.992680084,2238
2024-11-13T17:11:58.697,79651904.39575423,7181,27496066.52666624,2150
2024-11-13T17:12:19.465,77531129.57240051,7068,25381400.383958656,2034
2024-11-13T17:12:40.233,75006402.80459234,6900,22107435.672426775,1793
2024-11-13T17:13:01.112,71953211.54135916,6638,20397191.604133543,1663
2024-11-13T17:13:21.769,68069340.38752107,6298,18492001.503813606,1513
2024-11-13T17:13:42.537,64241209.02703438,5968,16271386.293605607,1340
2024-11-13T17:14:03.305,62341748.84505382,5823,14545236.348962968,1210
2024-11-13T17:14:24.733,61015737.80383081,5711,13395692.292688789,1112
2024-11-13T17:14:44.841,58766188.06122281,5502,12462094.303455194,1031
2024-11-13T17:15:05.609,56430720.01689841,5296,11265128.610918488,933
2024-11-13T17:15:26.376,55933421.54637779,5273,9560541.639823483,794
2024-11-13T17:15:47.146,55876350.88399745,5287,8595359.620169973,720
2024-11-13T17:16:07.914,54602085.073191665,5192,7182154.7117577195,609
2024-11-13T17:16:28.714,50787589.949088536,4832,6837691.6417138595,583
2024-11-13T17:16:49.482,48753097.71740929,4658,5901161.242142864,511
2024-11-13T17:17:10.250,48962132.01821581,4684,5542339.977648435,480
2024-11-13T17:17:31.177,47439692.179398835,4543,5363224.212377433,468
2024-11-13T17:17:51.786,43518728.63853029,4176,4641272.5452700285,410
2024-11-13T17:18:12.554,44951093.7385146,4315,4144821.89531235,366
2024-11-13T17:18:33.322,46198721.0611403,4430,3848985.9484456135,339
