time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-11-13 15:08:12.416425,23058669.790330283,9339414.47742264,28920482.942268714,14099427.063836873,30581710.803224165,10310949.381644016,38218927.29668565,245221506.30151826
2024-11-13 15:09:49.407720,23065185.24779594,9244074.90337519,28919452.285373326,14160129.772506045,30770753.646994077,10326050.623764323,38380643.66829863,245264483.30995184
2024-11-13 15:11:26.400015,23134412.528245896,9376757.359707434,29116197.64442299,13690413.241204966,30921244.628013697,10337693.589586368,40021573.55542952,245923739.7787398
2024-11-13 15:13:03.392310,22943737.889168262,9282825.403505817,29645643.720128633,13799662.51617542,30512970.733468704,10281383.348953104,37832127.1057974,244731059.01274365
2024-11-13 15:14:40.384490,22858711.842857655,9246485.552984651,29067129.35092132,13894985.376585957,30527297.7979313,10515578.685998496,37318578.22180955,245021830.5470621
2024-11-13 15:16:17.344785,23112787.754115555,9363959.864746941,28890211.02049835,13801351.744735125,30666960.405471295,10575523.12458525,37382880.28548049,245381224.1658808
2024-11-13 15:17:54.369080,22975504.890979037,9434980.563317679,29134396.235107936,13886279.740303792,30697275.52272494,10493389.72706832,36628869.65079553,245205471.09048778
2024-11-13 15:19:31.361375,22941662.774579674,9328074.587968482,29375863.78772238,14254519.703142028,30539921.62603765,10432634.755427752,36419265.66183783,246354026.77660587
2024-11-13 15:21:08.385680,23258246.560318608,9296554.532712033,29483287.59299242,14281416.015881993,30452436.521055117,10381936.419899577,36390634.64404315,246253883.79740828
2024-11-13 15:22:45.409975,23149394.896470085,9466193.457002144,29685314.121955656,14110470.262341129,30425895.99589848,10371647.172288502,36397871.571456596,246972821.76643723
2024-11-13 15:24:22.402270,23214364.94533405,9420569.45474504,30150873.037903737,13995906.920575075,30558074.25881912,10402627.927850239,36332963.452823624,247342067.79933184
2024-11-13 15:25:59.425565,23215720.2280099,9321422.244885443,30239462.423039183,13937372.599237278,30487628.064890698,10478226.001881523,36243374.96873309,247552948.9440064
