Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-11-13 15:00:07.487055,4278,4569,6480.057393504851,1716.6225253743107,8484,7362.2336849796775,1727.1628606853244
2024-11-13 15:01:44.478360,4477,4595,6465.385879985466,1707.4911544670629,8365,7350.623687609208,1714.7271315256637
2024-11-13 15:03:21.471530,4460,4801,6476.518681392838,1696.3110788230645,8892,7346.605825953081,1708.9616887889429
2024-11-13 15:04:58.462825,4371,4576,6493.329046434586,1736.0112909493594,8824,7407.944493539737,1747.9468292576412
2024-11-13 15:06:35.455120,4356,4570,6468.828518230666,1710.65040627931,8310,7372.793103975068,1719.7120050521
2024-11-13 15:08:12.416425,4462,4505,6465.289566448396,1693.8631284264088,8573,7335.38759135201,1708.3592321164408
2024-11-13 15:09:49.407720,4326,4431,6454.869624738737,1690.9147407544533,7440,7332.546535377862,1698.6415297533686
2024-11-13 15:11:26.400015,4399,4634,6475.813479235422,1715.095676622384,8475,7363.0780931520185,1733.5949964570423
2024-11-13 15:13:03.392310,4498,4606,6444.58509022215,1679.0703127870133,7445,7323.330142152597,1690.9528576119894
2024-11-13 15:14:40.384490,4261,4519,6454.171828278513,1681.5323553624103,8444,7333.345191985117,1699.636711540647
2024-11-13 15:16:17.344785,4484,4802,6476.157447986085,1691.0662323148424,8188,7339.687711438237,1712.602864067187
2024-11-13 15:17:54.369080,4130,4691,6470.867799848507,1691.4537996719016,8682,7339.248293827311,1709.9255361725714
2024-11-13 15:19:31.361375,4314,4330,6458.933571102584,1695.473328149064,8226,7329.252303147508,1719.1411551996264
2024-11-13 15:21:08.385680,4057,4970,6470.557061930773,1705.6199649142038,7827,7332.356608365019,1736.0467524744954
2024-11-13 15:22:45.409975,4437,5044,6490.472902255979,1697.9449281944246,8429,7355.570122878521,1721.7582278098964
2024-11-13 15:24:22.402270,4444,5033,6502.222247957789,1716.4954707830695,9006,7390.770778745963,1743.0209684243287
2024-11-13 15:25:59.425565,4251,4917,6493.511113732496,1708.0207068694124,7987,7378.951466081149,1742.6782134500825
2024-11-13 15:27:36.384745,4432,4833,6486.612206731446,1713.254129261922,7815,7366.718584771976,1744.9674012165524
2024-11-13 15:29:13.376915,4461,4610,6503.605273284966,1708.8066285876318,7646,7372.049166577707,1740.1549298199106
2024-11-13 15:30:50.337210,4437,4660,6493.360639602245,1710.4064524791147,7710,7384.240339877656,1739.1992032985231
2024-11-13 15:32:27.296505,4380,4374,6488.103300767856,1702.1487471393843,7731,7373.461666310878,1726.965996940912
2024-11-13 15:34:04.258810,4432,4579,6492.069340200713,1702.1643139154148,8111,7370.535166367802,1726.676926728886
2024-11-13 15:41:05.155060,4359,4627,6476.2547391021835,1699.8463687929532,8727,7351.767444355877,1727.0261135011765
2024-11-13 15:42:42.114355,4493,4385,6477.205619578616,1692.39558264307,7437,7347.098253912189,1719.6461473549828
2024-11-13 15:44:19.756500,4260,4512,6463.753081822747,1668.392224556889,7859,7334.013791192722,1697.0128400565955
2024-11-13 15:45:56.358200,4383,4815,6469.688964079737,1677.0084241414656,7623,7333.68864879818,1704.727791408468
2024-11-13 15:47:32.995125,4490,4864,6487.321724139873,1684.1524443326773,8039,7372.215452647095,1710.2706706097933
2024-11-13 15:49:09.956420,4474,4785,6480.575036356743,1681.9560944307793,7977,7342.139591462015,1711.0728102031026
2024-11-13 15:50:46.916590,4493,4612,6473.4981307409935,1683.8305998583085,8700,7328.706412180999,1711.79732374716
2024-11-13 15:52:23.907885,4383,4579,6479.178842973341,1689.2712821506786,7636,7348.293712079427,1715.395833813799
2024-11-13 15:54:00.869190,4477,4537,6483.871936291752,1704.0807202417839,7657,7366.95548243936,1731.3663910528328
2024-11-13 15:55:37.860485,4466,4611,6471.588409903528,1695.7776020318827,8468,7348.615514796688,1714.2447625375594
2024-11-13 15:57:14.820780,4520,4615,6489.4766957073425,1699.2392278312745,8790,7361.810771915858,1727.7822396286458
2024-11-13 15:58:51.781950,4516,4545,6493.680723163332,1713.0356098109476,8660,7381.0275547808005,1740.6673440234795
2024-11-13 16:08:33.636615,4405,4637,6493.203094723244,1717.0703469752018,7911,7390.5417554618625,1749.7991553345896
2024-11-13 16:10:10.627910,4488,4913,6493.831270882317,1712.7250274690084,8397,7381.859655843459,1749.446999043917
2024-11-13 16:24:43.272210,4071,4978,6475.551851663358,1685.935244487193,8596,7346.596476315586,1723.7378140147316
2024-11-13 16:26:20.267515,4049,4685,6480.294568276483,1705.0144807788054,8474,7367.369930578104,1742.8258204488022
2024-11-13 16:27:57.259810,4344,4988,6469.789712488516,1692.3070205492988,8055,7339.542151659062,1733.328942102236
2024-11-13 16:29:34.251105,4173,4695,6476.561401131475,1682.946390728336,8358,7336.556491706289,1726.1715208356882
2024-11-13 16:31:11.239275,4523,4565,6477.969623912418,1709.9634307996423,8283,7372.762829900601,1749.121990917358
2024-11-13 16:32:48.231570,4521,4689,6468.161511291876,1698.443927609781,7667,7345.945742930751,1752.7909012257826
2024-11-13 16:34:25.221875,4496,4542,6436.131231898321,1693.7324449437087,7930,7311.84369474174,1733.874424033422
2024-11-13 16:36:02.214170,3989,4710,6454.959408969308,1699.8764132458136,8414,7334.8847932726,1746.4756903825662
2024-11-13 16:37:39.174340,4455,4559,6469.5327390535585,1712.7353368924416,8570,7358.427994511491,1758.8889645117072
