Date time,Threshold 1 count,Threshold 1 area,Threshold 2 count,Threshold 2 area
2024-06-01T07:10:22.791,457703200.0,39276,315430048.0,25729
2024-06-01T07:10:22.791,457703200.0,39276,315430048.0,25729
2024-06-01T07:11:22.224,465564608.0,39798,326479680.0,26545
2024-06-01T07:11:47.846,460565504.0,39369,325566912.0,26501
2024-06-01T07:12:47.807,464419328.0,39647,328197824.0,26678
2024-06-01T07:13:12.903,460641024.0,39356,324820192.0,26432
2024-06-01T07:14:12.135,453280000.0,38811,318845568.0,26016
2024-06-01T07:14:37.959,454181088.0,38940,317427008.0,25930
2024-06-01T07:15:37.191,453350688.0,38898,316903808.0,25910
2024-06-01T07:16:03.152,452492384.0,38823,316662048.0,25895
2024-06-01T07:17:02.247,463615136.0,39658,326658208.0,26623
2024-06-01T07:17:28.713,455459200.0,38999,322009824.0,26291
2024-06-01T07:18:27.303,464891264.0,39751,328858944.0,26788
2024-06-01T07:18:53.128,460999584.0,39460,324570528.0,26466
2024-06-01T07:19:52.360,459863488.0,39419,322817472.0,26362
2024-06-01T07:20:18.188,456313120.0,39113,320758752.0,26201
2024-06-01T07:21:17.416,465165568.0,39719,333309312.0,27151
2024-06-01T07:21:43.240,465836224.0,39734,336833216.0,27436
2024-06-01T07:22:42.472,472298432.0,40224,341638624.0,27775
2024-06-01T07:23:08.296,462147200.0,39465,331504448.0,27018
2024-06-01T07:24:07.528,465121120.0,39688,334283200.0,27220
2024-06-01T07:24:33.352,457696000.0,39091,328078880.0,26735
2024-06-01T07:25:32.585,463735584.0,39674,329412768.0,26870
2024-06-01T07:25:58.409,462151712.0,39532,331006176.0,27028
2024-06-01T07:26:57.641,465168320.0,39775,332120992.0,27097
2024-06-01T07:27:23.465,461342016.0,39486,326966176.0,26682
2024-06-01T07:28:22.697,456744896.0,39101,324009344.0,26447
2024-06-01T07:28:48.521,457533056.0,39193,323877888.0,26452
2024-06-01T07:30:13.577,455629792.0,39096,321406112.0,26302
2024-06-01T07:31:12.650,453522080.0,38899,317748064.0,25960
2024-06-01T07:32:37.419,458761536.0,39288,325236896.0,26554
2024-06-01T07:34:27.946,447182880.0,38454,310918880.0,25477
2024-06-01T07:35:26.954,458414353.2724429,39352,323052713.7398422,26452
2024-06-01T07:35:52.715,455065261.30952394,39086,320399225.221639,26253
2024-06-01T07:36:51.723,461108497.1179277,39512,327100464.05168456,26737
2024-06-01T07:37:17.483,450323226.41352665,38631,317449241.2372885,25964
2024-06-01T07:38:16.491,455496309.89163417,39087,321475013.8930497,26308
2024-06-01T07:38:42.251,454992472.4975574,39083,319930425.46389437,26200
2024-06-01T07:39:41.259,451336108.3976236,38788,316663878.27301747,25951
2024-06-01T07:40:07.186,446722921.43676,38429,312633099.6942493,25650
2024-06-01T07:41:06.277,446259774.41011924,38395,313794791.5728276,25771
2024-06-01T07:41:31.788,444419849.0156126,38233,310075366.3518173,25434
2024-06-01T07:42:30.828,446191450.4754465,38355,312141275.1621662,25574
2024-06-01T07:42:56.586,450644641.41636604,38744,314447662.44256383,25756
2024-06-01T07:43:55.596,449801936.47684324,38631,314763985.03063184,25757
2024-06-01T07:44:21.355,446933437.7493235,38446,308387622.5222527,25243
2024-06-01T07:45:20.364,454947511.66267455,39073,316551190.7785226,25886
2024-06-01T07:45:46.122,453964299.2947646,39040,313458202.31479096,25656
2024-06-01T07:46:45.133,456841484.5643516,39234,315422909.36212736,25766
2024-06-01T07:47:10.891,453046316.9342654,38926,314695576.532594,25738
2024-06-01T07:48:09.901,458158961.9515751,39287,320464540.84836525,26160
2024-06-01T07:48:35.659,455812613.71745896,39124,317870541.93751043,25977
2024-06-01T07:49:34.668,462493756.92018586,39728,322355180.759351,26372
2024-06-01T07:50:00.426,459178223.458801,39461,320017398.7018658,26202
2024-06-01T07:50:59.437,462180853.7350273,39619,324641308.22384167,26512
2024-06-01T07:51:25.199,459133630.0991453,39397,320861078.27396077,26221
2024-06-01T07:52:24.205,466626568.8798248,39961,327927421.7759869,26743
2024-06-01T07:52:49.963,463033705.3274758,39683,323782453.33046347,26416
2024-06-01T07:53:48.973,465900885.41868603,39863,325228036.89598846,26466
2024-06-01T07:54:14.731,462894613.03399575,39607,322957373.1401979,26274
2024-06-01T07:55:13.742,469490342.33350277,39963,332007571.7380764,26861
2024-06-01T07:55:39.500,463941075.4942846,39497,328488097.07294154,26584
2024-06-01T07:56:38.510,474102308.6561411,40262,337032698.29705346,27191
2024-06-01T07:57:04.268,469182878.20581454,39894,332935804.154131,26901
2024-06-01T07:58:03.278,475663630.6044346,40343,339470379.0943408,27363
2024-06-01T07:58:29.353,475270957.5702869,40359,338271797.74870664,27302
2024-06-01T07:59:28.454,474301451.1865403,40346,339258555.72775114,27480
2024-06-01T07:59:53.804,469335076.0211623,40016,334190824.23278004,27129
2024-06-01T08:00:52.813,468049169.25556755,39938,330186979.43644583,26786
2024-06-01T08:01:18.542,464999507.76286453,39653,329872983.2909788,26766
2024-06-01T08:02:17.392,468252992.7700971,39901,335031087.78801084,27196
2024-06-01T08:02:43.118,459660020.33354986,39228,327536263.0020774,26636
2024-06-01T08:03:41.997,469155228.7980145,40053,332266584.8081551,27005
2024-06-01T08:04:07.725,466569127.85422975,39887,327675018.9955287,26650
2024-06-01T08:05:06.573,460913810.12527627,39391,324328349.88854384,26370
