file,region_id,x0_pix,y0_pix,width_pix,height_pix,top_left_hpc_Tx,top_left_hpc_Ty,bottom_right_hpc_Tx,bottom_right_hpc_Ty,Centre_hpc_Tx,Centre_hpc_Ty,max_intensity,area_pix
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,1,1098,1177,834,685,-566,-109,-66,-521,-316,-315,5944.32330656334,155443
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,2,1670,2518,357,256,-221,437,-7,283,-114,360,309.81470676333817,17132
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,3,2271,2499,881,566,139,611,668,270,403,441,299.7759002676716,125782
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,4,375,2252,367,655,-999,519,-779,125,-889,322,245.05734733282503,50827
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,5,3482,1602,254,468,865,12,1017,-269,941,-128,228.72138300475427,18561
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,6,2934,1807,294,256,536,8,712,-145,624,-68,206.41985752211107,12446
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,7,3091,2070,336,241,631,157,832,12,731,84,175.83952841497802,11867
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,8,1180,1714,269,310,-517,-11,-356,-198,-436,-105,153.4594471906093,11755
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,9,2481,2028,281,257,264,142,433,-11,348,65,152.0737629011599,12967
aia.lev1_euv_12s.2024-06-02T063008Z.131.image_lev1.fits,10,631,2808,345,419,-845,711,-638,459,-741,585,126.07171101373694,11404
