time,reg1,reg2,reg3,reg4,reg5,reg6
2024-07-10 03:59:53.900000,1382502.800000004,992096.1000000001,4012666.900000003,1864649.9000000104,1672289.899999998,975751.699999999
2024-07-10 04:01:23.900000,1394176.500000004,991111.0,4016081.2000000025,2002425.7000000107,1659087.0999999973,976414.4999999995
2024-07-10 04:02:53.900000,1406537.2000000044,995647.7999999998,4025909.3000000026,2051770.6000000103,1648087.199999997,970688.5999999996
2024-07-10 04:04:23.900000,1417438.4000000046,991479.8999999999,4000427.700000002,2093132.7000000104,1636172.499999997,965995.3999999999
2024-07-10 04:06:38.900000,1442418.1000000043,988632.3,4006539.200000001,2156167.8000000105,1607602.3999999966,963610.3999999997
2024-07-10 04:08:08.900000,1462653.9000000043,988936.7000000002,4016474.500000002,2206457.600000011,1591929.9999999963,964826.6
2024-07-10 04:09:38.900000,1477269.0000000047,992744.3000000005,4046618.6000000015,2263020.700000011,1565544.2999999966,965242.2000000001
2024-07-10 04:11:08.900000,1496107.0000000047,992138.8000000006,4050264.1000000024,2207983.800000011,1556165.199999997,962187.6
2024-07-10 04:12:38.900000,1513949.7000000048,992941.100000001,4063615.300000002,2350823.2000000114,1541176.199999997,964768.8000000003
2024-07-10 04:14:08.900000,1528773.5000000047,994960.9000000011,4072967.6000000024,2402703.9000000115,1524084.099999997,966908.7000000007
2024-07-10 04:15:38.900000,1539645.1000000047,1003176.9000000012,4042325.200000002,2443946.400000011,1514596.3999999973,963662.8000000004
2024-07-10 04:17:08.900000,1557037.0000000047,1009793.2000000016,4047822.700000002,2486508.800000011,1507911.4999999972,965022.1000000007
2024-07-10 04:18:38.900000,1576209.3000000047,1010672.2000000016,4063360.7000000025,2535296.200000011,1486172.1999999974,971253.100000001
2024-07-10 04:20:08.900000,1588257.5000000051,1019079.9000000015,4062684.4000000027,2579412.000000011,1479125.2999999973,971323.9000000015
2024-07-10 04:21:38.900000,1600826.5000000047,1028465.3000000017,4075936.9000000022,2616030.800000011,1474611.899999997,976059.5000000016
2024-07-10 04:23:08.900000,1621475.7000000048,1032928.9000000014,4087742.2000000025,2660183.300000011,1463465.1999999974,982584.8000000024
2024-07-10 04:24:38.900000,1636719.6000000052,1038579.3000000017,4087476.800000002,2708982.4000000106,1455548.5999999973,987330.1000000029
2024-07-10 04:26:08.900000,1650243.700000005,1047066.4000000013,4077290.800000002,2753115.30000001,1441314.699999997,995736.300000003
2024-07-10 04:27:38.900000,1670477.5000000051,1049863.2000000011,4092816.6000000024,2797041.6000000103,1436835.6999999972,1007357.5000000033
2024-07-10 04:29:08.900000,1688805.3000000056,1050997.900000001,4100669.6000000024,2836757.80000001,1424620.199999997,1026325.5000000037
2024-07-10 04:30:38.900000,1701329.0000000056,1055906.500000001,4120516.000000003,2883891.40000001,1414858.4999999977,1036361.5000000037
2024-07-10 04:32:08.900000,1721068.5000000058,1055853.8000000007,4108523.200000003,2920507.1000000103,1405983.099999997,1052250.3000000038
2024-07-10 04:33:38.900000,1744523.500000006,1058294.200000001,4116633.0000000033,2961854.1000000103,1390243.5999999973,1073946.1000000043
2024-07-10 04:35:08.900000,1765919.5000000056,1062258.0000000005,4121841.1000000034,3006161.8000000105,1379395.299999998,1089246.300000004
2024-07-10 04:36:38.900000,1783730.6000000057,1066117.5000000005,4124894.000000003,3053482.900000011,1363529.899999998,1104533.8000000045
2024-07-10 04:38:08.900000,1804466.4000000055,1067897.5000000007,4136290.400000003,3098422.4000000106,1350492.1999999983,1130547.7000000044
2024-07-10 04:39:38.900000,1818497.5000000056,1073863.5000000005,4143657.400000003,3141328.800000011,1346765.2999999982,1147585.3000000047
2024-07-10 04:41:08.900000,1837123.1000000052,1071373.7000000011,4148082.6000000034,3188817.800000011,1335109.5999999982,1166630.0000000044
2024-07-10 04:42:38.900000,1854780.1000000057,1081311.6000000015,4159013.900000003,3236809.600000011,1326927.6999999983,1187639.5000000044
2024-07-10 04:44:08.900000,1876443.8000000059,1086031.0000000016,4167952.400000003,3275935.300000011,1323495.9999999984,1208168.9000000046
2024-07-10 04:45:38.900000,1896815.7000000058,1091860.1000000017,4183052.3000000035,3316639.5000000102,1308739.8999999985,1230281.8000000045
2024-07-10 04:47:53.900000,1932027.4000000062,1110549.5000000014,4214894.200000003,3381908.10000001,1295495.6999999988,1253013.3000000047
2024-07-10 04:49:23.900000,1953620.9000000055,1111199.6000000017,4215518.200000003,3420210.4000000097,1291194.1999999988,1271236.5000000044
2024-07-10 04:50:53.900000,1977090.5000000056,1115159.4000000013,4236672.600000003,3459354.000000009,1288135.499999999,1298022.5000000047
2024-07-10 04:52:23.900000,1990999.3000000054,1119774.2000000011,4234088.900000004,3497776.4000000097,1287773.3999999992,1311801.7000000044
2024-07-10 04:53:53.900000,2012992.1000000052,1123610.2000000007,4244750.200000003,3529565.5000000093,1277728.8999999992,1329319.1000000043
2024-07-10 04:55:23.900000,2028072.1000000052,1121723.5000000005,4244189.800000004,3572129.4000000097,1271781.199999999,1354533.6000000043
2024-07-10 04:56:53.900000,2040715.400000005,1122366.2000000002,4250917.800000003,3613338.0000000102,1267646.8999999994,1367748.200000004
2024-07-10 04:58:23.900000,2060716.5000000047,1126056.4000000004,4272233.200000003,3647854.4000000106,1262584.7999999993,1385622.700000004
2024-07-10 04:59:53.900000,2071946.7000000046,1126768.3000000003,4277201.100000003,3688191.30000001,1260608.8999999992,1401335.4000000039
