,counts
2024-07-10 03:59:00,1.0
2024-07-10 04:00:00,1.0
2024-07-10 04:01:00,4.0
2024-07-10 04:02:00,0.0
2024-07-10 04:03:00,4.0
2024-07-10 04:04:00,6.0
2024-07-10 04:05:00,2.0
2024-07-10 04:06:00,1.0
2024-07-10 04:07:00,0.0
2024-07-10 04:08:00,4.0
2024-07-10 04:09:00,3.0
2024-07-10 04:10:00,0.0
2024-07-10 04:11:00,1.0
2024-07-10 04:12:00,0.0
2024-07-10 04:13:00,0.0
2024-07-10 04:14:00,0.0
2024-07-10 04:15:00,0.0
2024-07-10 04:16:00,4.0
2024-07-10 04:17:00,0.0
2024-07-10 04:18:00,2.0
2024-07-10 04:19:00,0.0
2024-07-10 04:20:00,0.0
2024-07-10 04:21:00,2.0
2024-07-10 04:22:00,0.0
2024-07-10 04:23:00,5.0
2024-07-10 04:24:00,1.0
2024-07-10 04:25:00,1.0
2024-07-10 04:26:00,2.0
2024-07-10 04:27:00,1.0
2024-07-10 04:28:00,0.0
2024-07-10 04:29:00,1.0
2024-07-10 04:30:00,1.0
2024-07-10 04:31:00,2.0
2024-07-10 04:32:00,4.0
2024-07-10 04:33:00,6.0
2024-07-10 04:34:00,0.0
2024-07-10 04:35:00,2.0
2024-07-10 04:36:00,0.0
2024-07-10 04:37:00,0.0
2024-07-10 04:38:00,1.0
2024-07-10 04:39:00,1.0
2024-07-10 04:40:00,1.0
2024-07-10 04:41:00,0.0
2024-07-10 04:42:00,1.0
2024-07-10 04:43:00,0.0
2024-07-10 04:44:00,0.0
2024-07-10 04:45:00,0.0
2024-07-10 04:46:00,1.0
2024-07-10 04:47:00,1.0
2024-07-10 04:48:00,0.0
2024-07-10 04:49:00,1.0
2024-07-10 04:50:00,4.0
2024-07-10 04:51:00,0.0
2024-07-10 04:52:00,1.0
2024-07-10 04:53:00,2.0
2024-07-10 04:54:00,1.0
2024-07-10 04:55:00,2.0
2024-07-10 04:56:00,2.0
2024-07-10 04:57:00,4.0
2024-07-10 04:58:00,3.0
2024-07-10 04:59:00,2.0
2024-07-10 05:00:00,3.0
2024-07-10 05:01:00,1.0
2024-07-10 05:02:00,1.0
2024-07-10 05:03:00,3.0
2024-07-10 05:04:00,3.0
2024-07-10 05:05:00,4.0
2024-07-10 05:06:00,2.0
2024-07-10 05:07:00,3.0
2024-07-10 05:08:00,4.0
2024-07-10 05:09:00,2.0
2024-07-10 05:10:00,1.0
2024-07-10 05:11:00,1.0
2024-07-10 05:12:00,0.0
2024-07-10 05:13:00,1.0
2024-07-10 05:14:00,2.0
2024-07-10 05:15:00,1.0
2024-07-10 05:16:00,2.0
2024-07-10 05:17:00,1.0
2024-07-10 05:18:00,3.0
2024-07-10 05:19:00,1.0
2024-07-10 05:20:00,1.0
2024-07-10 05:21:00,1.0
2024-07-10 05:22:00,2.0
2024-07-10 05:23:00,1.0
2024-07-10 05:24:00,0.0
2024-07-10 05:25:00,2.0
2024-07-10 05:26:00,0.0
2024-07-10 05:27:00,2.0
2024-07-10 05:28:00,2.0
2024-07-10 05:29:00,1.0
2024-07-10 05:30:00,0.0
2024-07-10 05:31:00,3.0
2024-07-10 05:32:00,0.0
2024-07-10 05:33:00,3.0
2024-07-10 05:34:00,3.0
2024-07-10 05:35:00,0.0
2024-07-10 05:36:00,0.0
2024-07-10 05:37:00,3.0
2024-07-10 05:38:00,1.0
2024-07-10 05:39:00,2.0
2024-07-10 05:40:00,1.0
2024-07-10 05:41:00,1.0
2024-07-10 05:42:00,3.0
2024-07-10 05:43:00,1.0
2024-07-10 05:44:00,1.0
2024-07-10 05:45:00,0.0
2024-07-10 05:46:00,2.0
2024-07-10 05:47:00,1.0
2024-07-10 05:48:00,1.0
2024-07-10 05:49:00,4.0
2024-07-10 05:50:00,5.0
2024-07-10 05:51:00,2.0
2024-07-10 05:52:00,5.0
2024-07-10 05:53:00,1.0
2024-07-10 05:54:00,28.0
2024-07-10 05:55:00,28.0
2024-07-10 05:56:00,41.0
2024-07-10 05:57:00,23.0
2024-07-10 05:58:00,7.0
2024-07-10 05:59:00,2.0
2024-07-10 06:00:00,2.0
2024-07-10 06:01:00,1.0
2024-07-10 06:02:00,5.0
2024-07-10 06:03:00,1.0
2024-07-10 06:04:00,1.0
2024-07-10 06:05:00,2.0
2024-07-10 06:06:00,0.0
2024-07-10 06:07:00,0.0
2024-07-10 06:08:00,4.0
2024-07-10 06:09:00,1.0
2024-07-10 06:10:00,3.0
2024-07-10 06:11:00,2.0
2024-07-10 06:12:00,0.0
2024-07-10 06:13:00,2.0
2024-07-10 06:14:00,1.0
