Peak time,Peak total count
2024-07-10 04:00:00,28.0
2024-07-10 04:03:00,24.0
2024-07-10 04:06:00,14.0
2024-07-10 04:08:00,13.0
2024-07-10 04:12:00,6.0
2024-07-10 04:14:00,9.0
2024-07-10 04:16:00,8.0
2024-07-10 04:19:00,39.0
2024-07-10 04:23:00,13.0
2024-07-10 04:25:00,14.0
2024-07-10 04:27:00,7.0
2024-07-10 04:33:00,16.0
2024-07-10 04:35:00,9.0
2024-07-10 04:37:00,8.0
2024-07-10 04:42:00,6.0
2024-07-10 04:46:00,34.0
2024-07-10 04:49:00,19.0
2024-07-10 04:53:00,11.0
2024-07-10 04:57:00,11.0
2024-07-10 05:00:00,9.0
2024-07-10 05:05:00,12.0
2024-07-10 05:07:00,9.0
2024-07-10 05:09:00,5.0
2024-07-10 05:11:00,6.0
2024-07-10 05:14:00,3.0
2024-07-10 05:16:00,7.0
2024-07-10 05:20:00,6.0
2024-07-10 05:24:00,16.0
2024-07-10 05:29:00,15.0
2024-07-10 05:34:00,19.0
2024-07-10 05:37:00,10.0
2024-07-10 05:39:00,7.0
2024-07-10 05:42:00,7.0
2024-07-10 05:46:00,44.0
2024-07-10 05:50:00,246.0
2024-07-10 05:56:00,7759.0
2024-07-10 06:10:00,216.0
