Time,Total,Area,Exposure,Meas_exposure
2024-07-10 03:59:27.183505,1156205952.0,1156205952.0,378831,2000,1932.4
2024-07-10 04:00:58.603180,1156221184.0,1156221312.0,378831,2000,1929.7000000000003
2024-07-10 04:02:30.609300,1156885504.0,1156885504.0,378831,2000,1929.7000000000003
2024-07-10 04:04:01.549680,1156119936.0,1156119936.0,378831,2000,1932.4
2024-07-10 04:05:33.530500,1156698368.0,1156698368.0,378831,2000,1929.7000000000003
2024-07-10 04:07:04.495055,1157367808.0,1157367680.0,378831,2000,1929.7000000000003
2024-07-10 04:08:35.951805,1157519872.0,1157519744.0,378831,2000,1929.7000000000003
2024-07-10 04:10:07.407430,1158016128.0,1158016128.0,378831,2000,1929.7000000000003
2024-07-10 04:11:38.897180,1157461632.0,1157461760.0,378831,2000,1929.7000000000003
2024-07-10 04:13:10.385340,1156527488.0,1156527488.0,378831,2000,1929.7000000000003
2024-07-10 04:14:41.872625,1154887936.0,1154887936.0,378831,2000,1929.7000000000003
2024-07-10 04:16:13.488920,1156673152.0,1156673152.0,378831,2000,1929.7000000000003
2024-07-10 04:17:45.200955,1156639360.0,1156639488.0,378831,2000,1932.4
2024-07-10 04:19:16.912240,1156481792.0,1156481792.0,378831,2000,1929.7000000000003
2024-07-10 04:20:48.625410,1156777088.0,1156777088.0,378831,2000,1932.4
2024-07-10 04:22:20.337695,1157826816.0,1157826688.0,378831,2000,1929.7000000000003
2024-07-10 04:23:52.489800,1155592960.0,1155592960.0,378831,2000,1927.0
2024-07-10 04:25:23.762140,1158810624.0,1158810624.0,378831,2000,1929.7000000000003
2024-07-10 04:26:55.474435,1158155904.0,1158155904.0,378831,2000,1929.7000000000003
2024-07-10 04:28:27.217595,1156952320.0,1156952320.0,378831,2000,1929.7000000000003
2024-07-10 04:29:58.930755,1158725632.0,1158725760.0,378831,2000,1929.7000000000003
2024-07-10 04:31:30.643050,1158253696.0,1158253568.0,378831,2000,1929.7000000000003
2024-07-10 04:33:02.354210,1158895872.0,1158895872.0,378831,2000,1929.7000000000003
2024-07-10 04:34:34.674950,1159823616.0,1159823616.0,378831,2000,1929.7000000000003
2024-07-10 04:36:05.779665,1159638528.0,1159638656.0,378831,2000,1932.4
2024-07-10 04:37:37.490950,1159612032.0,1159612032.0,378831,2000,1929.7000000000003
2024-07-10 04:39:09.204110,1158423808.0,1158423808.0,378831,2000,1929.7000000000003
2024-07-10 04:40:40.916405,1158605312.0,1158605440.0,378831,2000,1929.7000000000003
2024-07-10 04:42:12.627565,1156501504.0,1156501504.0,378831,2000,1929.7000000000003
2024-07-10 04:43:44.340850,1156484096.0,1156484096.0,378831,2000,1929.7000000000003
2024-07-10 04:45:16.840200,1155345408.0,1155345408.0,378831,2000,1929.7000000000003
2024-07-10 04:46:48.503050,1156632960.0,1156632832.0,378831,2000,1932.4
2024-07-10 04:48:20.184650,1156561664.0,1156561664.0,378831,2000,1929.7000000000003
2024-07-10 04:49:51.986760,1157654528.0,1157654528.0,378831,2000,1932.4
2024-07-10 04:51:23.954920,1157691904.0,1157691904.0,378831,2000,1932.4
2024-07-10 04:52:55.923205,1156121856.0,1156121984.0,378831,2000,1929.7000000000003
2024-07-10 04:54:27.923375,1157103232.0,1157103232.0,378831,2000,1932.4
2024-07-10 04:55:59.891660,1159014016.0,1159013888.0,378831,2000,1932.4
2024-07-10 04:57:31.891820,1157154304.0,1157154304.0,378831,2000,1929.7000000000003
2024-07-10 04:59:03.892115,1158927360.0,1158927488.0,378831,2000,1929.7000000000003
2024-07-10 05:00:35.892275,1159128832.0,1159128832.0,378831,2000,1929.7000000000003
2024-07-10 05:02:07.892445,1157383168.0,1157383168.0,378831,2000,1929.7000000000003
2024-07-10 05:03:39.892730,1156399104.0,1156399104.0,378831,2000,1929.7000000000003
2024-07-10 05:05:11.892890,1153410304.0,1153410304.0,378831,2000,1929.7000000000003
2024-07-10 05:06:43.893185,1151948672.0,1151948672.0,378831,2000,1929.7000000000003
2024-07-10 05:08:15.893345,1150607872.0,1150607872.0,378831,2000,1932.4
2024-07-10 05:09:47.893505,1151146240.0,1151146240.0,378831,2000,1932.4
2024-07-10 05:11:19.893800,1149627648.0,1149627648.0,378831,2000,1929.7000000000003
2024-07-10 05:12:51.893960,1150831104.0,1150831104.0,378831,2000,1929.7000000000003
2024-07-10 05:14:23.894245,1151028480.0,1151028480.0,378831,2000,1929.7000000000003
2024-07-10 05:15:56.534150,1150386816.0,1150386816.0,378831,2000,1929.7000000000003
2024-07-10 05:17:28.341575,1150437248.0,1150437120.0,378831,2000,1929.7000000000003
2024-07-10 05:19:00.597995,1151480832.0,1151480704.0,378831,2000,1932.4
2024-07-10 05:20:32.854155,1149689344.0,1149689216.0,378831,2000,1927.0
2024-07-10 05:22:05.114315,1150678144.0,1150678144.0,378831,2000,1929.7000000000003
2024-07-10 05:23:37.366610,1153177344.0,1153177344.0,378831,2000,1929.7000000000003
2024-07-10 05:25:09.622770,1151122688.0,1151122688.0,378831,2000,1929.7000000000003
2024-07-10 05:26:41.879065,1152288768.0,1152288768.0,378831,2000,1929.7000000000003
2024-07-10 05:28:14.135225,1152433920.0,1152434048.0,378831,2000,1932.4
2024-07-10 05:29:46.391520,1151537152.0,1151537024.0,378831,2000,1929.7000000000003
2024-07-10 05:31:18.647805,1149143296.0,1149143296.0,378831,2000,1929.7000000000003
2024-07-10 05:32:50.903965,1151036032.0,1151036032.0,378831,2000,1929.7000000000003
2024-07-10 05:34:23.160135,1149978880.0,1149978880.0,378831,2000,1929.7000000000003
2024-07-10 05:35:55.416295,1148281088.0,1148281088.0,378831,2000,1929.7000000000003
2024-07-10 05:37:27.670590,1150260992.0,1150260864.0,378831,2000,1929.7000000000003
2024-07-10 05:38:59.926875,1151093120.0,1151093248.0,378831,2000,1929.7000000000003
2024-07-10 05:40:32.183045,1151507200.0,1151507200.0,378831,2000,1929.7000000000003
2024-07-10 05:42:04.439330,1153430528.0,1153430528.0,378831,2000,1932.4
2024-07-10 05:49:00.823320,1165866496.0,1165866496.0,378831,2000,1929.7000000000003
2024-07-10 05:50:33.367480,1160533248.0,1160533248.0,378831,2000,1929.7000000000003
2024-07-10 05:52:05.912775,1160340736.0,1160340608.0,378831,2000,1932.4
2024-07-10 05:53:38.455935,1156123904.0,1156123904.0,378831,2000,1932.4
2024-07-10 06:08:34.905355,1173073664.0,1173073664.0,378831,2000,1929.7000000000003
2024-07-10 06:10:07.450105,1164643456.0,1164643456.0,378831,2000,1932.4
2024-07-10 06:11:39.995615,1164059648.0,1164059648.0,378831,2000,1929.7000000000003
2024-07-10 06:13:12.538900,1161341440.0,1161341440.0,378831,2000,1927.0
2024-07-10 06:14:45.830700,1159685632.0,1159685632.0,378831,2000,1927.0
