Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-07-10 03:31:16.823700,5281,5511,7383.225522257709,2097.3563474017724,5958,8528.440692567923,2341.1549913091662
2024-07-10 03:32:47.279655,5073,5266,7358.180231045923,2081.647693810775,6326,8509.870494103847,2316.5208168576105
2024-07-10 03:34:18.477815,5149,5444,7369.003956944373,2062.0501686692614,9280,8505.832226815315,2278.5788862676695
2024-07-10 03:35:49.679100,5245,5394,7366.350547740768,2064.8585399270332,8734,8498.068490861619,2289.971619660268
2024-07-10 03:37:20.878145,5149,5423,7396.100468241042,2079.9513132221086,8696,8563.928177721891,2346.382690672607
2024-07-10 03:38:52.824300,5193,5439,7391.938964206343,2048.582612631521,9269,8529.252867830424,2283.8998867342625
2024-07-10 03:40:23.279715,5169,5465,7353.530518557247,2061.699321576665,6012,8476.374989551116,2308.49256108951
2024-07-10 03:41:54.479000,5243,5546,7389.482517304235,2062.280922949384,9076,8552.10614700826,2307.1001921021343
2024-07-10 03:43:25.679035,5132,5505,7342.287087955853,2051.2875761467976,6153,8469.812432184292,2299.7058976881444
2024-07-10 03:44:56.880330,5277,5775,7364.239282375462,2037.3782873718376,5964,8506.71519728859,2277.096856934581
2024-07-10 03:46:28.238615,5324,5525,7357.175083746227,2061.9456129361815,8857,8495.650379089348,2314.4241221320553
2024-07-10 03:47:59.663775,5203,5545,7326.786889535626,2061.0965417277903,10261,8439.221992610683,2298.358172737553
2024-07-10 03:49:31.919450,5068,5654,7330.344751872065,2043.8329567294359,10378,8456.780165565682,2263.180435232582
2024-07-10 03:51:02.511230,5289,5644,7354.495243746173,2052.876490493214,9976,8502.622610367089,2265.880254402847
2024-07-10 03:52:33.936390,5150,5491,7380.633919664617,2070.837854799378,8533,8538.29453696563,2293.4813407700058
2024-07-10 03:54:05.360675,5156,5616,7380.188254668693,2075.0150045370024,9410,8525.043198968879,2298.40438708482
2024-07-10 03:55:36.783845,5212,5548,7375.299231051825,2080.6760420508085,5934,8525.715406813793,2296.622860422691
2024-07-10 03:57:08.208130,5163,5494,7370.317586965201,2092.598024753351,8764,8529.50188490617,2322.551970397908
2024-07-10 03:58:39.665290,5086,5469,7378.122188666744,2097.8132009112646,5630,8524.788885664539,2320.963862339536
2024-07-10 04:00:11.888050,5213,5442,7362.007985370699,2089.4768258353965,10195,8519.810441434922,2309.112253198832
2024-07-10 04:01:42.509555,5301,5769,7364.633488801838,2078.010647476767,9197,8499.944872432074,2279.954133794031
2024-07-10 04:03:13.967305,5214,5522,7366.709575026399,2086.0324634812773,10302,8504.813898508948,2301.535479028503
2024-07-10 04:04:45.454930,5155,5361,7379.026489019293,2136.9680227159947,9729,8545.835300730747,2365.6739156219105
2024-07-10 04:06:16.911680,5315,5593,7380.963193089469,2151.9592740066055,9154,8557.195074853096,2401.9580278610165
2024-07-10 04:07:48.401430,5228,5741,7394.26705624636,2105.7315362504714,8535,8543.849294898382,2346.2106781717607
2024-07-10 04:09:19.857055,5169,5505,7381.753359993925,2108.349790719448,10012,8542.394963042936,2350.3157814470947
2024-07-10 04:10:51.313805,5164,5403,7346.49027700012,2098.914354109654,9792,8501.512112734432,2314.64785868218
