T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.07.10_13:00:00,1145.5,459.0,6.054837e+22,41.47,12633.78,1.509184e+24,39.326,0.10884824,109019400000000.0,66.788
2024.07.10_13:12:00,1145.5,459.0,6.047959e+22,41.517,12619.46,1.506686e+24,39.277,0.11939263,108618800000000.0,66.366
2024.07.10_13:24:00,1145.5,459.0,6.038876e+22,41.387,12600.03,1.498793e+24,39.006,0.14405794,107356400000000.0,66.224
2024.07.10_13:36:00,1145.5,459.0,6.04285e+22,41.422,12520.95,1.4983e+24,39.031,0.16221115,107167200000000.0,65.829
2024.07.10_13:48:00,1145.5,459.0,6.020693e+22,41.46,12539.28,1.495114e+24,39.148,0.15509138,105997500000000.0,65.361
2024.07.10_14:00:00,1145.5,459.0,6.050257e+22,41.496,12451.96,1.497437e+24,39.264,0.17530365,106608400000000.0,65.176
2024.07.10_14:12:00,1145.5,459.0,6.058965e+22,41.488,12409.82,1.491265e+24,39.218,0.1807823,107033200000000.0,65.069
2024.07.10_14:24:00,1145.5,459.0,6.071682e+22,41.547,12314.68,1.494093e+24,39.202,0.1213025,106400200000000.0,64.384
2024.07.10_14:36:00,1145.5,459.0,6.072662e+22,41.48,12360.04,1.499531e+24,39.065,0.15454955,106441600000000.0,64.086
2024.07.10_14:48:00,1145.5,459.0,6.119175e+22,41.451,12205.72,1.500763e+24,38.996,0.14102994,108130100000000.0,64.079
2024.07.10_15:00:00,1145.5,459.0,6.135014e+22,41.557,12070.81,1.499628e+24,39.002,0.08404735,108277600000000.0,63.275
2024.07.10_15:12:00,1145.5,459.0,6.134835e+22,41.672,11995.04,1.49912e+24,39.119,0.10075363,108002600000000.0,62.62
2024.07.10_15:24:00,1145.5,459.0,6.141979e+22,41.606,11868.75,1.49366e+24,39.162,0.09891896,108209600000000.0,62.347
2024.07.10_15:36:00,1145.5,459.0,6.165533e+22,41.669,11727.83,1.494756e+24,39.263,0.08649069,107666500000000.0,61.461
2024.07.10_15:48:00,1145.5,459.0,6.166284e+22,41.99,11640.52,1.501778e+24,39.778,0.06582851,106824800000000.0,60.689
2024.07.10_16:00:00,1145.5,459.0,6.145064e+22,42.391,11537.54,1.499264e+24,40.512,0.03170879,106375400000000.0,60.351
2024.07.10_16:12:00,1145.5,459.0,6.123841e+22,42.572,11452.21,1.490396e+24,40.769,0.0350312,105046000000000.0,59.852
