Wavelength,Transmission,Matched_Intensity,Expected_Counts
3.881919303000000241e+02,3.639999999999999838e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.882006949999999961e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882094597000000249e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882181944000000158e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882269590999999878e+02,1.883999999999999646e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.882357238000000166e+02,2.496000000000000027e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.882444884999999886e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882532132000000047e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882619778999999767e+02,2.886000000000000102e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.882707426000000055e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882794772999999964e+02,4.679999999999999445e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.882882420000000252e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.882970066999999972e+02,1.039999999999999931e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.883057615000000169e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.883144960999999853e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.883232608999999798e+02,2.288000000000000267e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.883320256000000086e+02,1.288000000000000005e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.883407602999999995e+02,1.170000000000000063e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.883495250000000283e+02,6.240000000000000068e-12,0.000000000000000000e+00,0.000000000000000000e+00
3.883582797000000255e+02,2.197000000000000271e-11,0.000000000000000000e+00,0.000000000000000000e+00
3.883670144000000164e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
