# Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity
2024-07-10 13:37:06.622000,54844327.604281396,10283108.035668425,44567679.10138792
2024-07-10 13:37:18.622000,54783494.50001673,10240887.857152462,44549036.5333748
2024-07-10 13:37:30.622000,54744070.82672316,10211441.844495328,44539104.37923544
2024-07-10 13:37:42.622000,54740251.65926821,10182003.959560499,44564665.1799642
2024-07-10 13:37:54.642000,54666827.08069114,10135537.210595462,44537643.92016484
2024-07-10 13:38:06.622000,54674875.828385316,10114861.15669203,44566531.44072167
2024-07-10 13:38:18.622000,54636120.41402014,10068350.90017495,44574094.61101583
2024-07-10 13:38:30.622000,54579095.16681824,10035201.056803899,44550279.88618399
2024-07-10 13:38:42.638000,54548123.37869399,10002260.736169882,44552189.1186128
2024-07-10 13:38:54.623000,54502579.4403864,9972429.203712188,44536365.02468438
2024-07-10 13:39:06.623000,54479712.49558315,9932097.248196634,44553951.37590168
2024-07-10 13:39:18.622000,54455125.85389531,9906909.209245373,44554590.00614998
2024-07-10 13:39:30.623000,54421729.53496693,9864699.227047743,44563406.42286024
2024-07-10 13:39:42.622000,54410783.139279336,9851714.598433204,44565421.21637809
2024-07-10 13:39:54.622000,54423698.62928697,9866127.785672082,44563971.77907258
2024-07-10 13:40:06.623000,54375971.533625245,9844658.038779298,44537557.23369826
2024-07-10 13:40:18.623000,54356411.83332735,9810478.677782588,44552314.79055606
2024-07-10 13:40:30.623000,54340192.52434133,9793954.691557033,44552711.15695243
2024-07-10 13:40:42.623000,54272356.312428355,9743035.860487964,44535661.40666879
2024-07-10 13:40:54.622000,54254292.48575836,9721634.362638215,44539001.14622564
2024-07-10 13:41:06.622000,54214438.38026712,9689310.34768052,44531520.69894623
2024-07-10 13:41:18.623000,54206247.60412903,9667359.343414146,44545224.3914143
2024-07-10 13:41:30.622000,54148479.82901415,9619696.46566063,44535176.02750941
2024-07-10 13:41:42.630000,54122812.001003854,9589016.775922978,44540127.90848393
2024-07-10 13:41:54.622000,54057766.99464222,9540007.570257574,44524052.114811435
2024-07-10 13:42:06.622000,54047163.18340112,9515069.866403386,44538434.96774363
2024-07-10 13:42:18.622000,53997961.26823319,9485873.491764234,44518405.983405404
2024-07-10 13:42:30.622000,53966583.9890376,9450679.720424363,44522178.34581542
2024-07-10 13:42:42.622000,53926911.80161223,9432084.125062397,44501300.32018489
2024-07-10 13:42:54.624000,53873735.18696757,9389096.339522839,44490947.39977331
2024-07-10 13:43:06.622000,53826511.48328097,9344720.434800295,44488134.06939954
2024-07-10 13:43:18.622000,53791542.13317172,9309724.88525682,44488114.76455327
2024-07-10 13:43:30.622000,53756212.28015322,9292866.48255825,44469602.63400748
2024-07-10 13:43:42.623000,53730928.455919646,9260147.537236797,44477098.42744845
2024-07-10 13:43:54.622000,53697280.91427689,9243556.667268794,44460014.86472139
2024-07-10 13:44:06.622000,53696812.45852473,9239472.219110081,44463714.97763567
2024-07-10 13:44:18.622000,53668299.994553275,9209417.593471654,44465307.467597164
2024-07-10 13:44:30.622000,53635742.93519948,9178681.237234237,44463323.36490481
2024-07-10 13:44:42.623000,53611424.33618022,9145348.650814854,44472399.40361793
2024-07-10 13:44:54.623000,53591316.12259138,9130801.455034845,44466893.54473074
2024-07-10 13:45:06.623000,53561981.84999095,9113550.80020339,44454785.104237586
2024-07-10 13:45:18.638000,53548933.68229165,9079431.223679893,44475889.609297216
2024-07-10 13:45:30.622000,53513778.6759137,9053571.348544879,44466393.158079624
2024-07-10 13:45:42.623000,53516367.24035403,9046851.154412968,44475813.60475037
2024-07-10 13:45:54.623000,53520573.98883006,9038309.47286339,44488566.17587491
2024-07-10 13:46:06.647000,53445696.80890671,8997594.476603888,44454397.784905255
2024-07-10 13:46:18.630000,53399093.01664181,8960182.017184766,44445149.22478949
2024-07-10 13:46:30.623000,53390784.55584719,8925100.643747676,44471995.21791379
2024-07-10 13:46:42.622000,53345706.82478261,8893265.88125792,44458814.30282765
2024-07-10 13:46:54.623000,53316911.33277993,8878089.122263191,44445147.999327086
2024-07-10 13:47:06.623000,53310496.60372363,8875906.983670846,44440997.45451637
2024-07-10 13:47:18.638000,53300651.12533542,8861759.279432327,44445239.00795084
2024-07-10 13:47:30.622000,53271265.43053471,8828664.141176486,44449090.4822528
2024-07-10 13:47:42.623000,53268413.8260073,8800878.922981512,44473833.80509599
2024-07-10 13:47:54.622000,53198905.27619231,8764194.161450043,44441054.14222102
2024-07-10 13:48:06.623000,53172709.547356196,8746520.299059853,44432632.93464202
2024-07-10 13:48:18.622000,53143327.35456618,8729774.777554356,44419932.15024299
2024-07-10 13:48:30.623000,53167629.440079205,8736864.494568951,44437179.68120059
2024-07-10 13:48:42.622000,53124781.87217278,8718958.97093996,44412263.83418217
2024-07-10 13:48:54.622000,53097668.5565914,8692827.30647634,44411189.79764695
2024-07-10 13:49:06.616000,53073581.85122572,8654244.44916341,44425661.12249485
2024-07-10 13:49:18.622000,53039680.47677521,8630776.379936446,44415349.85600633
2024-07-10 13:49:30.615000,53032664.5343975,8611488.743535453,44427611.20813342
2024-07-10 13:49:42.623000,52985645.0984049,8581379.547376415,44410640.98749974
2024-07-10 13:49:54.622000,52973582.306526326,8556110.14950595,44423875.861350976
2024-07-10 13:50:06.622000,52966812.85511486,8531693.430344917,44441452.80199888
2024-07-10 13:50:18.630000,52957382.75474426,8523043.648677392,44440698.684958495
2024-07-10 13:50:30.615000,52932709.41822697,8507690.578739407,44431414.26809367
2024-07-10 13:50:42.622000,52949780.044876985,8501433.560659938,44454661.94202396
2024-07-10 13:50:54.630000,52915811.50735101,8482101.637327876,44440128.73583506
2024-07-10 13:51:06.622000,52931851.08782884,8499972.421629164,44438203.765550755
2024-07-10 13:51:18.638000,52910584.34106459,8465727.140194353,44451109.21969386
2024-07-10 13:51:30.624000,52876769.412256256,8449540.854281994,44433617.78144264
2024-07-10 13:51:42.622000,52860564.35038069,8433511.604641719,44433444.03758659
