Wavelength,Transmission,Interpolated_Intensity,Expected_Counts
3.881919303000000241e+02,3.639999999999999838e-12,1.773275599309784186e-08,6.454723181487614485e-20
3.882006949999999961e+02,0.000000000000000000e+00,1.773654455870304666e-08,0.000000000000000000e+00
3.882094597000000249e+02,0.000000000000000000e+00,1.774033312430827792e-08,0.000000000000000000e+00
3.882181944000000158e+02,0.000000000000000000e+00,1.774410872233123933e-08,0.000000000000000000e+00
3.882269590999999878e+02,1.883999999999999646e-11,1.774789728793644744e-08,3.343703849047225893e-19
3.882357238000000166e+02,2.496000000000000027e-11,1.775168585354167870e-08,4.430820789044003390e-19
3.882444884999999886e+02,0.000000000000000000e+00,1.775547441914688350e-08,0.000000000000000000e+00
3.882532132000000047e+02,0.000000000000000000e+00,1.775924569464244148e-08,0.000000000000000000e+00
3.882619778999999767e+02,2.886000000000000102e-11,1.776303426024764627e-08,5.126411687507470782e-19
3.882707426000000055e+02,0.000000000000000000e+00,1.776682282585287754e-08,0.000000000000000000e+00
3.882794772999999964e+02,4.679999999999999445e-12,1.777059842387583895e-08,8.316640062373891550e-20
3.882882420000000252e+02,0.000000000000000000e+00,1.777438698948107021e-08,0.000000000000000000e+00
3.882970066999999972e+02,1.039999999999999931e-11,1.777817555508627501e-08,1.848930257728972382e-19
3.883057615000000169e+02,0.000000000000000000e+00,1.778195984138935881e-08,0.000000000000000000e+00
3.883144960999999853e+02,0.000000000000000000e+00,1.778573539618703779e-08,0.000000000000000000e+00
3.883232608999999798e+02,2.288000000000000267e-11,1.778952400501752833e-08,4.070243092348011035e-19
3.883320256000000086e+02,1.288000000000000005e-11,1.779331257062275959e-08,2.291778659096211281e-19
3.883407602999999995e+02,1.170000000000000063e-11,1.779708816864572100e-08,2.082259315731549403e-19
3.883495250000000283e+02,6.240000000000000068e-12,1.780087673425095227e-08,1.110774708217259493e-19
3.883582797000000255e+02,2.197000000000000271e-11,1.780466097732875363e-08,3.911684016719127621e-19
3.883670144000000164e+02,0.000000000000000000e+00,1.780843657535171505e-08,0.000000000000000000e+00
3.883757790999999884e+02,0.000000000000000000e+00,1.781222514095692315e-08,0.000000000000000000e+00
3.883845137999999793e+02,0.000000000000000000e+00,1.781600073897988456e-08,0.000000000000000000e+00
3.883932785000000081e+02,1.703000000000000155e-11,1.781978930458511583e-08,3.034710118570845431e-19
3.884020431999999801e+02,1.546999999999999931e-11,1.782357787019032062e-08,2.757307496518442662e-19
3.884107678999999962e+02,3.093999999999999862e-11,1.782734914568587860e-08,5.515781825675210169e-19
3.884195326000000250e+02,7.920000000000000180e-12,1.783113771129110987e-08,1.412226106734255979e-19
3.884282972999999970e+02,0.000000000000000000e+00,1.783492627689631466e-08,0.000000000000000000e+00
3.884370319999999879e+02,0.000000000000000000e+00,1.783870187491927938e-08,0.000000000000000000e+00
3.884457967999999823e+02,9.240000000000000210e-12,1.784249048374976662e-08,1.648646120698478466e-19
3.884545314999999732e+02,0.000000000000000000e+00,1.784626608177273134e-08,0.000000000000000000e+00
3.884632862000000273e+02,0.000000000000000000e+00,1.785005032485055586e-08,0.000000000000000000e+00
3.884720508999999993e+02,1.364999999999999939e-11,1.785383889045576066e-08,2.437049008547211007e-19
3.884807855999999902e+02,3.639999999999999838e-12,1.785761448847872538e-08,6.500171673806255696e-20
3.884895503000000190e+02,4.302999999999999901e-11,1.786140305408395664e-08,7.685761734172326531e-19
3.884982850000000099e+02,2.774999999999999788e-11,1.786517865210691806e-08,4.957587075959669728e-19
3.885070496999999818e+02,1.800000000000000247e-11,1.786896721771212285e-08,3.216414099188182506e-19
3.885157743999999980e+02,0.000000000000000000e+00,1.787273849320768083e-08,0.000000000000000000e+00
3.885245391000000268e+02,3.162000000000000300e-11,1.787652705881291210e-08,5.652557855996642996e-19
3.885332738000000177e+02,7.999999999999999839e-12,1.788030265683587351e-08,1.430424212546869968e-19
3.885420384999999897e+02,1.898000000000000192e-11,1.788409122244108162e-08,3.394400514019317715e-19
3.885507731999999805e+02,0.000000000000000000e+00,1.788786682046404303e-08,0.000000000000000000e+00
3.885595379000000094e+02,1.690000000000000069e-12,1.789165538606927429e-08,3.023689760245707368e-20
3.885682626000000255e+02,2.051999999999999738e-11,1.789542666156483228e-08,3.672141550953103218e-19
3.885770274000000200e+02,2.030000000000000034e-11,1.789921527039531951e-08,3.633540699890249716e-19
3.885857621000000108e+02,0.000000000000000000e+00,1.790299086841828423e-08,0.000000000000000000e+00
3.885945267999999828e+02,0.000000000000000000e+00,1.790677943402348903e-08,0.000000000000000000e+00
3.886032614999999737e+02,1.106000000000000013e-11,1.791055503204645375e-08,1.980907386544337918e-19
3.886120262000000025e+02,9.240000000000000210e-12,1.791434359765168170e-08,1.655285348423015313e-19
3.886207509000000186e+02,1.690000000000000069e-12,1.791811487314723968e-08,3.028161413561883370e-20
3.886295155999999906e+02,9.240000000000000210e-12,1.792190343875244448e-08,1.655983877740726014e-19
3.886382502999999815e+02,3.639999999999999838e-12,1.792567903677540920e-08,6.524947169386249194e-20
3.886470150000000103e+02,9.480000000000000803e-12,1.792946760238064047e-08,1.699713528705684800e-19
3.886557497000000012e+02,5.850000000000000317e-12,1.793324320040360188e-08,1.049094727223610797e-19
3.886645143999999732e+02,9.240000000000000210e-12,1.793703176600880998e-08,1.657381735179214104e-19
3.886732390999999893e+02,1.195999999999999993e-11,1.794080304150436466e-08,2.145720043763921989e-19
3.886820038000000181e+02,0.000000000000000000e+00,1.794459160710959592e-08,0.000000000000000000e+00
3.886907385000000090e+02,6.890000000000000732e-12,1.794836720513256064e-08,1.236642500433633609e-19
3.886994733000000224e+02,1.885000000000000147e-11,1.795214284638080449e-08,3.383978926542781960e-19
3.887082379999999944e+02,1.819999999999999919e-12,1.795593141198601260e-08,3.267979516981454340e-20
3.887169627000000105e+02,5.459999999999999757e-12,1.795970268748156727e-08,9.805997667364935074e-20
3.887257273999999825e+02,0.000000000000000000e+00,1.796349125308677537e-08,0.000000000000000000e+00
3.887344620999999734e+02,0.000000000000000000e+00,1.796726685110973679e-08,0.000000000000000000e+00
3.887431968000000211e+02,0.000000000000000000e+00,1.797104244913272467e-08,0.000000000000000000e+00
3.887519614999999931e+02,1.575000000000000054e-11,1.797483101473793277e-08,2.831035884821224486e-19
3.887606961999999839e+02,0.000000000000000000e+00,1.797860661276089419e-08,0.000000000000000000e+00
3.887694508999999812e+02,2.393999999999999695e-11,1.798239085583869555e-08,4.304984370887783111e-19
3.887781855999999721e+02,1.652000000000000150e-11,1.798616645386165696e-08,2.971314698177945801e-19
3.887869203000000198e+02,0.000000000000000000e+00,1.798994205188464485e-08,0.000000000000000000e+00
3.887956849999999918e+02,0.000000000000000000e+00,1.799373061748984964e-08,0.000000000000000000e+00
3.888044198000000051e+02,1.652000000000000150e-11,1.799750625873809680e-08,2.973188033943534088e-19
3.888131443999999988e+02,1.469999999999999835e-11,1.800127749100837234e-08,2.646187791178230368e-19
3.888219091999999932e+02,0.000000000000000000e+00,1.800506609983885958e-08,0.000000000000000000e+00
3.888306438999999841e+02,0.000000000000000000e+00,1.800884169786182430e-08,0.000000000000000000e+00
3.888393785999999750e+02,0.000000000000000000e+00,1.801261729588478571e-08,0.000000000000000000e+00
3.888481433000000038e+02,8.580000000000001003e-12,1.801640586149001698e-08,1.545807622915843523e-19
3.888568779999999947e+02,0.000000000000000000e+00,1.802018145951298170e-08,0.000000000000000000e+00
3.888656027000000108e+02,1.665999999999999727e-11,1.802395273500853637e-08,3.002790525652421617e-19
3.888743673999999828e+02,0.000000000000000000e+00,1.802774130061374448e-08,0.000000000000000000e+00
3.888831020999999737e+02,1.695999999999999882e-11,1.803151689863670589e-08,3.058145266008785166e-19
3.888918368000000214e+02,1.279999999999999877e-11,1.803529249665969377e-08,2.308517439572440677e-19
3.889005715000000123e+02,0.000000000000000000e+00,1.803906809468265518e-08,0.000000000000000000e+00
3.889093363000000068e+02,2.400000000000000113e-11,1.804285670351314573e-08,4.330285608843155076e-19
3.889180610000000229e+02,0.000000000000000000e+00,1.804662797900870371e-08,0.000000000000000000e+00
3.889267957000000138e+02,1.200000000000000057e-11,1.805040357703166512e-08,2.166048429243799884e-19
3.889355603999999857e+02,1.949999999999999971e-12,1.805419214263687323e-08,3.520567467814189930e-20
3.889442950999999766e+02,1.340000000000000026e-11,1.805796774065983464e-08,2.419767677248418005e-19
3.889530298000000244e+02,0.000000000000000000e+00,1.806174333868282252e-08,0.000000000000000000e+00
3.889617544999999836e+02,0.000000000000000000e+00,1.806551461417835734e-08,0.000000000000000000e+00
3.889705192000000125e+02,0.000000000000000000e+00,1.806930317978358530e-08,0.000000000000000000e+00
3.889792539000000033e+02,3.510000000000000190e-12,1.807307877780655002e-08,6.343650651010099973e-20
3.889879885999999942e+02,0.000000000000000000e+00,1.807685437582951143e-08,0.000000000000000000e+00
3.889967232999999851e+02,9.379999999999999210e-12,1.808062997385247616e-08,1.695963091547362098e-19
3.890054480000000012e+02,1.819999999999999919e-12,1.808440124934803083e-08,3.291361027381341668e-20
3.890142126999999732e+02,2.043999999999999934e-11,1.808818981495323893e-08,3.697225998176442070e-19
3.890229474999999866e+02,0.000000000000000000e+00,1.809196545620148609e-08,0.000000000000000000e+00
3.890316821999999775e+02,1.784999999999999846e-11,1.809574105422444751e-08,3.230089778179063572e-19
3.890404169000000252e+02,1.302000000000000066e-11,1.809951665224743539e-08,2.356557068122616415e-19
3.890491516000000161e+02,2.225999999999999926e-11,1.810329225027039680e-08,4.029792854910190199e-19
3.890579063000000133e+02,4.049999999999999908e-12,1.810707649334819816e-08,7.333365979806019840e-20
3.890666410000000042e+02,0.000000000000000000e+00,1.811085209137116289e-08,0.000000000000000000e+00
3.890753756999999950e+02,0.000000000000000000e+00,1.811462768939412430e-08,0.000000000000000000e+00
3.890841103999999859e+02,1.488000000000000122e-11,1.811840328741708902e-08,2.696018409167662976e-19
3.890928450999999768e+02,0.000000000000000000e+00,1.812217888544005044e-08,0.000000000000000000e+00
3.891015697999999929e+02,0.000000000000000000e+00,1.812595016093560842e-08,0.000000000000000000e+00
3.891103044999999838e+02,2.800000000000000024e-11,1.812972575895856983e-08,5.076323212508399129e-19
3.891190692999999783e+02,1.604999999999999886e-11,1.813351436778906037e-08,2.910429056030143901e-19
3.891278040000000260e+02,0.000000000000000000e+00,1.813728996581204826e-08,0.000000000000000000e+00
3.891365387000000169e+02,0.000000000000000000e+00,1.814106556383500967e-08,0.000000000000000000e+00
3.891452633999999762e+02,0.000000000000000000e+00,1.814483683933054449e-08,0.000000000000000000e+00
3.891539981000000239e+02,2.174999999999999921e-11,1.814861243735353237e-08,3.947323205124392946e-19
3.891627328000000148e+02,8.320000000000000091e-12,1.815238803537649379e-08,1.510278684543324359e-19
3.891714675000000057e+02,0.000000000000000000e+00,1.815616363339945520e-08,0.000000000000000000e+00
3.891802021999999965e+02,0.000000000000000000e+00,1.815993923142241992e-08,0.000000000000000000e+00
