Date time,Threshold 1 count,Threshold 1 area,Threshold 2 count,Threshold 2 area
2024-10-08T23:01:14.453,320283065.575271,27194,30170100.402820185,2100
2024-10-08T23:01:14.453,319664115.459708,27136,30170100.402820177,2100
2024-10-08T23:02:51.414,315362228.7742762,26832,26014227.825983442,1824
2024-10-08T23:04:28.406,320465270.78863394,27330,26614846.916574907,1856
2024-10-08T23:06:05.430,313898507.95943546,26708,23817053.62223872,1668
2024-10-08T23:07:42.423,316843131.1897419,26967,26406617.539084025,1849
2024-10-08T23:09:19.447,318899054.09643745,27156,23981687.15484871,1677
2024-10-08T23:10:56.437,314054500.24979067,26778,21103134.59783238,1482
2024-10-08T23:12:33.429,321221804.0354056,27406,25979654.08040529,1817
2024-10-08T23:14:10.454,317874810.50209403,27109,21854107.899592582,1528
2024-10-08T23:15:47.414,326614177.379454,27859,27127010.589749847,1894
2024-10-08T23:17:24.374,336102507.2314738,28706,24206254.99734076,1697
2024-10-08T23:19:01.365,319724346.9612307,27288,22273274.55164268,1554
2024-10-08T23:20:38.327,325550962.3082323,27772,27310923.32101416,1912
2024-10-08T23:22:15.287,327382042.3458718,27986,24350046.109672554,1703
2024-10-08T23:23:52.278,325480762.5563709,27821,20609733.61176409,1443
2024-10-08T23:25:29.239,330587983.6811197,28273,28687219.490691535,1996
2024-10-08T23:27:06.200,325641570.0801198,27862,27686528.83066804,1935
2024-10-08T23:28:43.159,324194552.2867147,27769,24078795.8306344,1686
2024-10-08T23:30:20.119,324670133.94434154,27888,17559767.59537714,1235
2024-10-08T23:31:57.795,328379876.03500044,28102,25043378.972766265,1754
2024-10-08T23:33:34.398,324986943.59300303,27863,17106024.969642855,1200
2024-10-08T23:35:11.000,329450671.5988959,28265,16051027.551712334,1125
2024-10-08T23:36:47.960,329229645.30834186,28207,22225573.518495355,1560
2024-10-08T23:38:24.920,324051834.81811434,27691,24376499.349173892,1700
2024-10-08T23:40:01.881,317183825.52751637,27065,19572756.477716826,1376
2024-10-08T23:41:38.841,323995135.2313039,27674,19947161.894371927,1396
2024-10-08T23:43:15.801,325508905.4968361,27873,20679757.080915775,1444
2024-10-08T23:44:52.761,320086480.7688808,27408,15068412.190974947,1055
2024-10-08T23:46:29.754,325584586.80803525,27880,19160861.82935663,1341
2024-10-08T23:48:06.712,324416737.19237626,27807,20138319.50777327,1412
2024-10-08T23:49:43.676,329982769.0126169,28320,21671993.976207368,1512
2024-10-08T23:51:20.669,327278714.0183903,28115,16622637.816261703,1169
2024-10-08T23:52:57.657,327278765.22680736,28039,21872611.930158272,1529
2024-10-08T23:54:34.649,330113138.1765845,28266,20384308.959571227,1431
2024-10-08T23:56:11.641,328482860.66302353,28151,18076302.645405024,1266
2024-10-08T23:57:48.634,326176583.72674376,27953,20425660.998045202,1434
2024-10-08T23:59:25.594,327042546.3860878,28012,21824861.410105977,1536
2024-10-09T00:01:02.554,322341208.46156806,27598,23309776.272161923,1639
2024-10-09T00:02:39.513,329865687.90675354,28219,25238935.824114658,1767
2024-10-09T00:04:16.474,338003520.55315536,29008,19613252.633080218,1377
2024-10-09T00:05:53.435,326488643.4332899,27954,21785422.53528157,1523
2024-10-09T00:07:30.394,320328901.5062859,27454,19002326.223307587,1336
2024-10-09T00:09:07.354,317217785.9241862,27188,17192158.57989376,1208
2024-10-09T00:10:44.320,323238793.6014304,27738,11719710.043580282,828
2024-10-09T00:12:21.408,323921541.95456445,27775,16324372.4529975,1150
2024-10-09T00:13:58.496,323198378.68502796,27677,15142571.644387715,1065
2024-10-09T00:15:35.583,324992624.8870949,27860,14663931.413795086,1034
2024-10-09T00:17:12.673,322232986.6970855,27636,16995011.232599575,1196
2024-10-09T00:18:49.761,327610823.78534126,28078,15690334.276419388,1102
2024-10-09T00:20:26.848,326730404.22462857,27948,21444551.54564046,1506
2024-10-09T00:22:03.937,321659887.15741646,27455,21262591.28256382,1493
2024-10-09T00:23:41.256,324384725.29234457,27742,18438300.991957817,1296
2024-10-09T00:25:18.114,324768284.2184942,27752,24510860.584431104,1719
2024-10-09T00:26:55.200,323014318.57097733,27471,18358208.758339323,1290
2024-10-09T00:28:32.289,325515526.74318224,27775,17689687.390016936,1247
2024-10-09T00:30:09.377,333225972.666896,28546,18838017.053094216,1324
2024-10-09T00:31:46.497,334768686.7757902,28613,13738904.423712077,970
