Time,xrsa,xrsb,xrsa_quality,xrsb_quality,xrsa_primary_chan,xrsb_primary_chan
2024-10-08 23:00:00.586396,4.9556775e-08,2.7628164e-06,0,0,1,1
2024-10-08 23:00:01.586398,3.9848622e-08,2.7563854e-06,0,0,1,1
2024-10-08 23:00:02.586403,5.3855715e-08,2.766019e-06,0,0,1,1
2024-10-08 23:00:03.586405,4.3084672e-08,2.765389e-06,0,0,1,1
2024-10-08 23:00:04.586409,5.0635457e-08,2.7621734e-06,0,0,1,1
2024-10-08 23:00:05.586410,5.6028874e-08,2.778251e-06,0,0,1,1
2024-10-08 23:00:06.586416,5.1714142e-08,2.7756787e-06,0,0,1,1
2024-10-08 23:00:07.586413,5.7123366e-08,2.7518965e-06,0,0,1,1
2024-10-08 23:00:08.586421,4.200599e-08,2.7795372e-06,0,0,1,1
2024-10-08 23:00:09.586423,4.847809e-08,2.77182e-06,0,0,1,1
2024-10-08 23:00:10.586427,4.741521e-08,2.7589706e-06,0,0,1,1
2024-10-08 23:00:11.586426,4.9556775e-08,2.765389e-06,0,0,1,1
2024-10-08 23:00:12.586432,5.4950192e-08,2.7737492e-06,0,0,1,1
2024-10-08 23:00:13.586432,4.4163357e-08,2.771177e-06,0,0,1,1
2024-10-08 23:00:14.586436,5.2792824e-08,2.7467386e-06,0,0,1,1
2024-10-08 23:00:15.586441,4.7399407e-08,2.7505973e-06,0,0,1,1
2024-10-08 23:00:16.586440,5.3871506e-08,2.7763217e-06,0,0,1,1
2024-10-08 23:00:17.586443,5.0635457e-08,2.766032e-06,0,0,1,1
2024-10-08 23:00:18.586444,4.200599e-08,2.7628164e-06,0,0,1,1
2024-10-08 23:00:19.586450,5.0651263e-08,2.7621863e-06,0,0,1,1
2024-10-08 23:00:20.586450,4.200599e-08,2.7859683e-06,0,0,1,1
2024-10-08 23:00:21.586457,5.3871506e-08,2.7743924e-06,0,0,1,1
2024-10-08 23:00:22.586455,4.6320725e-08,2.7808235e-06,0,0,1,1
2024-10-08 23:00:23.586462,5.1714142e-08,2.7621734e-06,0,0,1,1
2024-10-08 23:00:24.586464,5.3871506e-08,2.7480248e-06,0,0,1,1
2024-10-08 23:00:25.586465,5.0635457e-08,2.766032e-06,0,0,1,1
2024-10-08 23:00:26.586467,3.9848622e-08,2.7692474e-06,0,0,1,1
2024-10-08 23:00:27.586472,5.6044684e-08,2.7724761e-06,0,0,1,1
2024-10-08 23:00:28.586474,4.7399407e-08,2.765389e-06,0,0,1,1
2024-10-08 23:00:29.586478,5.0635457e-08,2.7576716e-06,0,0,1,1
2024-10-08 23:00:30.586479,5.0651263e-08,2.7512533e-06,0,0,1,1
2024-10-08 23:00:31.586484,5.1714142e-08,2.7583146e-06,0,0,1,1
2024-10-08 23:00:32.586482,4.6320725e-08,2.7692474e-06,0,0,1,1
2024-10-08 23:00:33.586488,4.7399407e-08,2.77182e-06,0,0,1,1
2024-10-08 23:00:34.586494,5.9264924e-08,2.7673182e-06,0,0,1,1
2024-10-08 23:00:35.586495,5.7107556e-08,2.7531698e-06,0,0,1,1
2024-10-08 23:00:36.586494,4.6336524e-08,2.7814797e-06,0,0,1,1
2024-10-08 23:00:37.586501,5.2792824e-08,2.7583146e-06,0,0,1,1
2024-10-08 23:00:38.586502,4.200599e-08,2.766032e-06,0,0,1,1
2024-10-08 23:00:39.586503,5.709176e-08,2.760231e-06,0,0,1,1
2024-10-08 23:00:40.586507,5.3855715e-08,2.760231e-06,0,0,1,1
2024-10-08 23:00:41.586513,4.847809e-08,2.7698907e-06,0,0,1,1
2024-10-08 23:00:42.586514,4.4163357e-08,2.7827527e-06,0,0,1,1
2024-10-08 23:00:43.586517,5.6028874e-08,2.7737492e-06,0,0,1,1
2024-10-08 23:00:44.586521,5.4934397e-08,2.7538e-06,0,0,1,1
2024-10-08 23:00:45.586523,5.4950192e-08,2.760244e-06,0,0,1,1
2024-10-08 23:00:46.586526,5.6044684e-08,2.7705466e-06,0,0,1,1
2024-10-08 23:00:47.586527,4.7399407e-08,2.7608871e-06,0,0,1,1
2024-10-08 23:00:48.586530,5.818624e-08,2.7705337e-06,0,0,1,1
2024-10-08 23:00:49.586535,4.3100474e-08,2.7531828e-06,0,0,1,1
2024-10-08 23:00:50.586537,4.8493895e-08,2.771833e-06,0,0,1,1
2024-10-08 23:00:51.586542,5.0635457e-08,2.737092e-06,0,0,1,1
2024-10-08 23:00:52.586545,5.0635457e-08,2.7518836e-06,0,0,1,1
2024-10-08 23:00:54.586548,4.1990205e-08,2.771807e-06,0,0,1,1
2024-10-08 23:00:55.586547,5.0635457e-08,2.7583146e-06,0,0,1,1
2024-10-08 23:00:56.586556,4.6336524e-08,2.7750484e-06,0,0,1,1
2024-10-08 23:00:57.586556,5.8170446e-08,2.760231e-06,0,0,1,1
2024-10-08 23:00:58.586562,5.2792824e-08,2.7563854e-06,0,0,1,1
2024-10-08 23:00:59.586558,5.7139157e-08,2.7660578e-06,0,0,1,1
2024-10-08 23:01:00.586566,5.2792824e-08,2.760244e-06,0,0,1,1
2024-10-08 23:01:01.586567,4.738362e-08,2.7769518e-06,0,0,1,1
2024-10-08 23:01:02.586567,4.7399407e-08,2.77182e-06,0,0,1,1
2024-10-08 23:01:03.586571,4.9540983e-08,2.7692345e-06,0,0,1,1
2024-10-08 23:01:04.586571,4.524204e-08,2.7698907e-06,0,0,1,1
2024-10-08 23:01:05.586576,5.9264924e-08,2.7544559e-06,0,0,1,1
2024-10-08 23:01:06.586582,4.0943107e-08,2.7904832e-06,0,0,1,1
2024-10-08 23:01:07.586585,5.1714142e-08,2.7615301e-06,0,0,1,1
2024-10-08 23:01:08.586587,6.035942e-08,2.778264e-06,0,0,1,1
2024-10-08 23:01:09.586587,4.3084672e-08,2.7621734e-06,0,0,1,1
2024-10-08 23:01:10.586593,5.9264924e-08,2.7737492e-06,0,0,1,1
2024-10-08 23:01:11.586594,5.0635457e-08,2.7673182e-06,0,0,1,1
2024-10-08 23:01:12.586599,4.524204e-08,2.766032e-06,0,0,1,1
2024-10-08 23:01:13.586600,5.3871506e-08,2.7673182e-06,0,0,1,1
2024-10-08 23:01:14.586603,5.8217843e-08,2.7744184e-06,0,0,1,1
2024-10-08 23:01:15.586607,5.1714142e-08,2.7518836e-06,0,0,1,1
2024-10-08 23:01:16.586607,4.5273627e-08,2.7589836e-06,0,0,1,1
2024-10-08 23:01:17.586611,5.818624e-08,2.7878978e-06,0,0,1,1
2024-10-08 23:01:18.586612,4.847809e-08,2.77182e-06,0,0,1,1
2024-10-08 23:01:19.586619,5.0635457e-08,2.7641026e-06,0,0,1,1
2024-10-08 23:01:20.586619,5.929653e-08,2.7847082e-06,0,0,1,1
2024-10-08 23:01:21.586623,5.0635457e-08,2.7621734e-06,0,0,1,1
2024-10-08 23:01:22.586627,4.3084672e-08,2.7563854e-06,0,0,1,1
2024-10-08 23:01:23.586630,4.524204e-08,2.783396e-06,0,0,1,1
2024-10-08 23:01:25.586638,4.847809e-08,2.7531698e-06,0,0,1,1
2024-10-08 23:01:26.586633,5.1714142e-08,2.7589576e-06,0,0,1,1
2024-10-08 23:01:27.586641,4.202179e-08,2.7679741e-06,0,0,1,1
2024-10-08 23:01:28.586643,4.4163357e-08,2.7608871e-06,0,0,1,1
2024-10-08 23:01:29.586643,5.8170446e-08,2.7666622e-06,0,0,1,1
2024-10-08 23:01:30.586649,5.4950192e-08,2.7641026e-06,0,0,1,1
2024-10-08 23:01:31.586652,5.4965998e-08,2.7763347e-06,0,0,1,1
2024-10-08 23:01:32.586652,4.7399407e-08,2.7679612e-06,0,0,1,1
2024-10-08 23:01:33.586660,5.7123366e-08,2.766688e-06,0,0,1,1
2024-10-08 23:01:34.586662,4.741521e-08,2.7724761e-06,0,0,1,1
2024-10-08 23:01:35.586658,5.820205e-08,2.7609e-06,0,0,1,1
2024-10-08 23:01:36.586667,4.7399407e-08,2.7583146e-06,0,0,1,1
2024-10-08 23:01:37.586671,5.3887316e-08,2.7596138e-06,0,0,1,1
2024-10-08 23:01:38.586669,5.2792824e-08,2.7563854e-06,0,0,1,1
2024-10-08 23:01:39.586674,4.414757e-08,2.74351e-06,0,0,1,1
2024-10-08 23:01:41.586683,5.1714142e-08,2.7801805e-06,0,0,1,1
2024-10-08 23:01:42.586681,5.1714142e-08,2.7634594e-06,0,0,1,1
