Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-10-08 23:01:14.453450,5582,7481,8397.238903798514,2376.0428710739575,8609,9294.271734151704,3010.829145331874
2024-10-08 23:02:51.413745,5640,7410,8392.414739884392,2354.709357850325,7765,9288.856724074752,2976.7697576380815
2024-10-08 23:04:28.406050,5592,6210,8403.652009358657,2354.432164550324,7221,9303.201172590692,2973.8806173697117
2024-10-08 23:06:05.430345,5720,7619,8400.78590352326,2348.3793406929185,8707,9286.694553865886,2970.567464466801
2024-10-08 23:07:42.422640,5499,6431,8397.903024360034,2349.5286584941973,7232,9295.821157017223,2969.5937755897244
2024-10-08 23:09:19.446810,5506,6366,8392.932734654556,2353.422050932232,7349,9294.575989373398,2969.0553186959974
2024-10-08 23:10:56.437115,5522,6489,8377.700918662262,2340.642964363392,7810,9267.864098570904,2957.0892784420644
2024-10-08 23:12:33.429410,5748,6201,8400.539602257088,2350.8089870717445,9392,9293.040078783437,2968.970098920459
2024-10-08 23:14:10.453580,5498,7187,8397.331638797137,2343.8484371926957,9903,9280.30549193844,2956.1744335862836
2024-10-08 23:15:47.413875,5662,7278,8424.810418387007,2361.9342387748743,7540,9309.614304690363,2972.5268069483263
2024-10-08 23:17:24.374055,5543,6309,8450.753535301405,2365.8156982391383,8586,9331.5956165262,2961.189593940031
2024-10-08 23:19:01.365350,5594,6354,8392.693495389485,2350.7223747664702,8880,9283.027963539758,2960.4667297710303
2024-10-08 23:20:38.326645,5597,6335,8397.8313291357,2366.7318281714142,8800,9291.723387687798,2988.145854710931
2024-10-08 23:22:15.286940,5568,6310,8396.445439375171,2360.585201282903,8484,9291.536780872115,2980.5347125941053
2024-10-08 23:23:52.278245,5515,7277,8391.898061175338,2359.1390201000245,11982,9281.662948882375,2974.645001739475
2024-10-08 23:25:29.239290,5535,6429,8403.200436966694,2370.9560125748944,8585,9293.15871198241,2988.90435763976
2024-10-08 23:27:06.199585,5574,7634,8409.772106385906,2356.0911606199247,8392,9300.350540491023,2965.9958049426527
2024-10-08 23:28:43.158880,5577,6405,8382.35169797688,2352.600162426519,7527,9262.827913155003,2964.1976065831836
2024-10-08 23:30:20.119185,5555,6280,8390.392125997798,2336.4394640295586,7397,9272.186835837303,2940.6425847639584
2024-10-08 23:31:57.794800,5505,6341,8382.944373647615,2364.5656151274197,9259,9294.55524040441,2975.5429562038944
2024-10-08 23:33:34.397750,5550,6294,8382.544164484698,2338.8827487556714,8722,9269.445269652651,2941.1916542845534
2024-10-08 23:35:10.999945,5564,6343,8377.189766241756,2348.5348931311014,8798,9274.43771405087,2954.5345298439456
2024-10-08 23:36:47.960250,5629,7611,8366.649426166794,2353.127115493328,7619,9270.050199475663,2968.934128485048
2024-10-08 23:38:24.920420,5556,7152,8369.098367943643,2359.8160476644607,8084,9270.685482024273,2976.9837060448767
2024-10-08 23:40:01.880715,5651,6308,8362.755846553611,2340.748728627588,8472,9270.565009165903,2960.5507316284206
2024-10-08 23:41:38.841010,5597,6244,8387.640467913983,2344.6163063185777,7551,9287.92961103853,2965.0386707164184
2024-10-08 23:43:15.801315,5564,6168,8363.34333353052,2347.4938824500605,8261,9287.494125729989,2960.936804425543
2024-10-08 23:44:52.761485,5685,7299,8366.666496159321,2327.2461288941176,8269,9265.694197499828,2938.511659694946
2024-10-08 23:46:29.753780,5559,6449,8356.64728285875,2348.3661459669097,7678,9256.231424644984,2973.4150069363413
2024-10-08 23:48:06.712075,5564,7494,8361.421929478041,2346.3237248608693,8080,9259.466602484757,2967.210788629601
2024-10-08 23:49:43.676255,5739,6325,8350.250089463729,2347.830037797509,8299,9262.538405149704,2974.955242289568
