Time,Total,Area,Exposure,Meas_exposure
2024-10-08 23:56:20.567330,1735811331.2494802,1735811331.2494802,305606,2000,1929.7000000000003
2024-10-08 23:57:57.559510,1734796710.0171506,1734796710.0171504,305606,2000,1929.7000000000003
2024-10-08 23:59:34.519805,1734571752.7570293,1734571752.757029,305606,2000,1929.7000000000003
2024-10-09 00:01:11.480100,1732449168.8232036,1732449168.8232036,305606,2000,1927.0
2024-10-09 00:02:48.439395,1741319086.0669148,1741319086.0669148,305606,2000,1929.7000000000003
2024-10-09 00:04:25.399690,1742433012.5456343,1742433012.5456343,305606,2000,1924.3000000000002
2024-10-09 00:06:02.360995,1736931856.3709097,1736931856.3709097,305606,2000,1929.7000000000003
2024-10-09 00:07:39.320040,1734540062.2925968,1734540062.292597,305606,2000,1924.3000000000002
2024-10-09 00:09:16.280335,1733066379.619107,1733066379.6191072,305606,2000,1929.7000000000003
2024-10-09 00:10:53.276640,1732025962.880977,1732025962.880977,305606,2000,1929.7000000000003
2024-10-09 00:12:30.365935,1733150299.8992586,1733150299.8992586,305606,2000,1927.0
2024-10-09 00:14:07.454230,1734164306.471388,1734164306.471388,305606,2000,1929.7000000000003
2024-10-09 00:15:44.541400,1732176510.6855922,1732176510.6855922,305606,2000,1929.7000000000003
2024-10-09 00:17:21.630705,1732875778.3479645,1732875778.3479648,305606,2000,1929.7000000000003
2024-10-09 00:18:58.718875,1734076736.6802526,1734076736.6802526,305606,2000,1929.7000000000003
2024-10-09 00:20:35.807170,1733151518.5274057,1733151518.5274057,305606,2000,1929.7000000000003
2024-10-09 00:22:12.895465,1734587190.586491,1734587190.586491,305606,2000,1924.3000000000002
2024-10-09 00:23:49.983770,1733533881.9650912,1733533881.9650912,305606,2000,1929.7000000000003
2024-10-09 00:25:27.719400,1735464842.8464856,1735464842.8464856,305606,2000,1924.3000000000002
2024-10-09 00:27:04.158235,1734518547.8081424,1734518547.8081427,305606,2000,1929.7000000000003
2024-10-09 00:28:41.246405,1736071831.5908802,1736071831.5908802,305606,2000,1927.0
2024-10-09 00:30:18.334710,1736315508.8202481,1736315508.8202481,305606,2000,1929.7000000000003
2024-10-09 00:31:55.455005,1741005345.2232156,1741005345.2232156,305606,2000,1924.3000000000002
2024-10-09 00:33:32.543300,1738212353.172467,1738212353.1724668,305606,2000,1929.7000000000003
2024-10-09 00:35:09.631480,1739190484.4728594,1739190484.4728594,305606,2000,1929.7000000000003
2024-10-09 00:36:46.719775,1737156375.7382727,1737156375.7382727,305606,2000,1929.7000000000003
2024-10-09 00:38:23.808070,1739770063.2162194,1739770063.21622,305606,2000,1929.7000000000003
2024-10-09 00:40:00.896240,1735305346.989798,1735305346.989798,305606,2000,1929.7000000000003
2024-10-09 00:41:37.919545,1737187135.118889,1737187135.1188893,305606,2000,1929.7000000000003
2024-10-09 00:43:14.943840,1739315170.5606685,1739315170.5606685,305606,2000,1929.7000000000003
2024-10-09 00:44:51.936010,1737148648.2901115,1737148648.2901118,305606,2000,1929.7000000000003
2024-10-09 00:46:28.992305,1739778346.467887,1739778346.467887,305606,2000,1927.0
2024-10-09 00:48:06.176100,1740175383.8320546,1740175383.8320546,305606,2000,1929.7000000000003
2024-10-09 00:49:43.407800,1739493356.3688972,1739493356.3688972,305606,2000,1927.0
2024-10-09 00:51:20.970750,1740184174.0366795,1740184174.0366795,305606,2000,1929.7000000000003
2024-10-09 00:52:57.154370,1740741225.5806484,1740741225.5806484,305606,2000,1929.7000000000003
2024-10-09 00:54:34.177550,1736383386.5262825,1736383386.5262825,305606,2000,1929.7000000000003
2024-10-09 00:56:11.233845,1735941110.8515615,1735941110.8515615,305606,2000,1924.3000000000002
2024-10-09 00:57:48.291140,1738257569.940746,1738257569.940746,305606,2000,1929.7000000000003
2024-10-09 01:04:49.249140,1735439321.8334837,1735439321.8334837,305606,2000,1929.7000000000003
2024-10-09 01:06:26.305435,1739143859.48271,1739143859.48271,305606,2000,1927.0
2024-10-09 01:08:03.329740,1738238997.8960667,1738238997.8960667,305606,2000,1929.7000000000003
2024-10-09 01:09:40.354035,1741488528.137743,1741488528.137743,305606,2000,1924.3000000000002
2024-10-09 01:11:17.410330,1744833705.9486911,1744833705.9486911,305606,2000,1932.4
2024-10-09 01:12:54.433375,1742330490.8030345,1742330490.8030348,305606,2000,1927.0
2024-10-09 01:14:31.425680,1743105271.7032175,1743105271.7032175,305606,2000,1932.4
2024-10-09 01:16:08.418975,1743248219.4193196,1743248219.4193196,305606,2000,1932.4
2024-10-09 01:17:45.410270,1746475267.5517647,1746475267.5517647,305606,2000,1929.7000000000003
2024-10-09 01:19:22.434565,1743281063.6078176,1743281063.6078176,305606,2000,1929.7000000000003
2024-10-09 01:20:59.395870,1742804983.098725,1742804983.0987248,305606,2000,1932.4
2024-10-09 01:22:36.387040,1746102531.8924422,1746102531.8924422,305606,2000,1929.7000000000003
2024-10-09 01:24:13.347210,1744449670.4845524,1744449670.4845526,305606,2000,1927.0
2024-10-09 01:25:50.372505,1743640865.4953644,1743640865.4953647,305606,2000,1929.7000000000003
2024-10-09 01:27:27.363810,1743023169.6619916,1743023169.6619918,305606,2000,1924.3000000000002
2024-10-09 01:29:04.388105,1749358114.4690013,1749358114.4690013,305606,2000,1929.7000000000003
2024-10-09 01:30:41.413275,1751729399.1359935,1751729399.1359935,305606,2000,1924.3000000000002
2024-10-09 01:32:18.468580,1767721874.8128572,1767721874.8128572,305606,2000,1929.7000000000003
2024-10-09 01:39:27.229715,2001074051.5737185,2001074051.5737185,305606,1500,1432.9
2024-10-09 01:40:54.524865,2051400165.1980057,2051400165.198006,305606,1500,1435.6000000000001
2024-10-09 01:41:11.918895,2071801211.8015027,2071801211.8015025,305606,1000,978.7500000000001
2024-10-09 01:42:39.221180,2110596734.618301,2110596734.618301,305606,1000,978.7500000000001
2024-10-09 01:42:54.909210,2141239400.7840934,2141239400.7840936,305606,300,291.6
2024-10-09 01:44:12.323465,2167460976.3958335,2167460976.3958335,305606,300,290.25
2024-10-09 01:44:28.134950,2163590140.6231947,2163590140.6231947,305606,1000,978.7500000000001
2024-10-09 01:45:55.253780,2163687431.336198,2163687431.336198,305606,1000,978.7500000000001
2024-10-09 01:46:10.939810,2182315342.0350246,2182315342.0350246,305606,300,291.6
2024-10-09 01:47:28.355940,2203117372.66674,2203117372.66674,305606,300,291.6
2024-10-09 01:47:44.459700,2172226978.304487,2172226978.304487,305606,1000,978.7500000000001
2024-10-09 01:49:11.286255,2193822543.976474,2193822543.976474,305606,1000,977.4000000000001
2024-10-09 01:49:26.972275,2224614268.183923,2224614268.183922,305606,300,288.90000000000003
2024-10-09 01:50:44.388540,2165776058.7442183,2165776058.7442183,305606,300,287.55
2024-10-09 01:51:00.785700,2137855004.5785928,2137855004.5785928,305606,1000,977.4000000000001
