Time,Total,Area,Exposure,Meas_exposure
2024-11-01 00:23:19.328615,1732912180.2738037,1732912180.2738037,303186,2000,1924.3000000000002
2024-11-01 00:23:37.280645,1731887079.0583496,1731887079.0583496,303186,2000,1924.3000000000002
2024-11-01 00:23:55.233800,1729856583.4347153,1729856583.4347153,303186,2000,1924.3000000000002
2024-11-01 00:25:19.425950,1731644193.3869934,1731644193.3869934,303186,2000,1924.3000000000002
2024-11-01 00:26:43.619100,1735537247.044403,1735537247.044403,303186,2000,1924.3000000000002
2024-11-01 00:28:07.811375,1732785281.0324402,1732785281.0324402,303186,2000,1924.3000000000002
2024-11-01 00:29:32.265000,1729917780.8113403,1729917780.8113403,303186,2000,1924.3000000000002
2024-11-01 00:30:56.178800,1731544379.8157043,1731544379.8157043,303186,2000,1918.9
2024-11-01 00:32:25.651210,1732571176.3222466,1732571176.3222466,303186,2000,1924.3000000000002
2024-11-01 00:33:55.122370,1730649137.2394714,1730649137.2394714,303186,2000,1924.3000000000002
2024-11-01 00:35:24.595655,1730999612.052246,1730999612.052246,303186,2000,1918.9
2024-11-01 00:36:54.678150,1732682027.8486023,1732682027.8486023,303186,2000,1924.3000000000002
2024-11-01 00:38:23.539100,1732017770.0490112,1732017770.0490115,303186,2000,1924.3000000000002
2024-11-01 00:39:53.162600,1730171916.7362366,1730171916.7362366,303186,2000,1924.3000000000002
2024-11-01 00:41:22.484535,1732797944.458746,1732797944.458746,303186,2000,1921.6000000000004
2024-11-01 00:42:51.955820,1729646162.3751526,1729646162.3751526,303186,2000,1924.3000000000002
2024-11-01 00:44:21.426980,1730721876.5031738,1730721876.5031738,303186,2000,1921.6000000000004
2024-11-01 00:45:50.899265,1729906607.9519653,1729906607.9519653,303186,2000,1921.6000000000004
2024-11-01 00:47:20.370550,1731278244.6655273,1731278244.6655276,303186,2000,1924.3000000000002
2024-11-01 00:48:49.843710,1733140930.4510956,1733140930.4510956,303186,2000,1918.9
2024-11-01 00:50:19.315995,1732251192.3545165,1732251192.3545165,303186,2000,1924.3000000000002
2024-11-01 00:51:48.787280,1727185896.557541,1727185896.557541,303186,2000,1924.3000000000002
2024-11-01 00:53:18.260440,1729045661.8171387,1729045661.8171387,303186,2000,1924.3000000000002
2024-11-01 00:54:47.732725,1731920244.5525818,1731920244.5525818,303186,2000,1924.3000000000002
2024-11-01 00:56:17.205010,1727349117.5539246,1727349117.5539246,303186,2000,1921.6000000000004
2024-11-01 00:57:46.677170,1728789713.8085365,1728789713.8085368,303186,2000,1924.3000000000002
2024-11-01 00:59:16.149320,1733247032.054016,1733247032.054016,303186,2000,1924.3000000000002
2024-11-01 01:00:45.558605,1728753957.403061,1728753957.403061,303186,2000,1921.6000000000004
2024-11-01 01:02:14.773890,1728859880.168251,1728859880.168251,303186,2000,1924.3000000000002
2024-11-01 01:03:43.959175,1733142258.5612793,1733142258.5612793,303186,2000,1921.6000000000004
2024-11-01 01:05:13.239460,1732087359.1690674,1732087359.1690674,303186,2000,1924.3000000000002
2024-11-01 01:06:42.486745,1731742747.5699768,1731742747.5699768,303186,2000,1918.9
2024-11-01 01:08:11.735780,1730890318.51888,1730890318.51888,303186,2000,1924.3000000000002
2024-11-01 01:09:40.984065,1732718156.5524673,1732718156.5524673,303186,2000,1924.3000000000002
2024-11-01 01:11:10.263340,1729843776.1730957,1729843776.1730957,303186,2000,1924.3000000000002
2024-11-01 01:12:39.511625,1728627724.4105377,1728627724.4105377,303186,2000,1924.3000000000002
2024-11-01 01:14:08.792785,1728367056.7167358,1728367056.7167358,303186,2000,1924.3000000000002
2024-11-01 01:15:38.440700,1727936936.7653275,1727936936.7653275,303186,2000,1924.3000000000002
2024-11-01 01:17:07.288355,1729547373.0462456,1729547373.0462456,303186,2000,1924.3000000000002
2024-11-01 01:18:36.537640,1727688474.0457764,1727688474.0457764,303186,2000,1921.6000000000004
2024-11-01 01:20:05.784800,1727573498.0689087,1727573498.068909,303186,2000,1924.3000000000002
2024-11-01 01:21:35.350850,1729832527.9463348,1729832527.9463348,303186,2000,1918.9
2024-11-01 01:23:04.280370,1728168712.9060974,1728168712.9060974,303186,2000,1924.3000000000002
2024-11-01 01:24:33.495520,1729432137.4597168,1729432137.4597168,303186,2000,1918.9
2024-11-01 01:26:02.743805,1728210383.2320557,1728210383.2320557,303186,2000,1924.3000000000002
2024-11-01 01:27:31.960965,1731388920.5595398,1731388920.5595398,303186,2000,1924.3000000000002
2024-11-01 01:29:01.176250,1730431298.7369156,1730431298.7369156,303186,2000,1924.3000000000002
2024-11-01 01:30:30.361535,1730908594.726944,1730908594.726944,303186,2000,1918.9
2024-11-01 01:31:59.449695,1728358679.2760086,1728358679.2760086,303186,2000,1924.3000000000002
2024-11-01 01:33:28.538980,1728138055.1351547,1728138055.1351547,303186,2000,1921.6000000000004
2024-11-01 01:34:57.626255,1730761677.6270142,1730761677.6270142,303186,2000,1924.3000000000002
2024-11-01 01:36:26.714540,1728569890.1692963,1728569890.1692963,303186,2000,1924.3000000000002
2024-11-01 01:37:55.803700,1730828317.1452484,1730828317.1452487,303186,2000,1924.3000000000002
2024-11-01 01:39:24.890985,1729291914.994995,1729291914.994995,303186,2000,1924.3000000000002
2024-11-01 01:40:53.979270,1730749290.0504417,1730749290.0504417,303186,2000,1921.6000000000004
2024-11-01 01:42:23.684300,1731310964.1631165,1731310964.1631165,303186,2000,1924.3000000000002
2024-11-01 01:43:52.155705,1729204202.4648438,1729204202.4648438,303186,2000,1921.6000000000004
2024-11-01 01:45:21.243990,1732883785.3085861,1732883785.3085861,303186,2000,1924.3000000000002
2024-11-01 01:46:50.333150,1732544355.2529297,1732544355.2529297,303186,2000,1924.3000000000002
