time,mode,thresh_area,thresho_tot,exposure,shutter_angle
2024-11-01 00:24:37.919880,3093,136384,482331091.76857686,2000,180.791015625
2024-11-01 00:26:02.113030,3105,126506,447668611.2115022,2000,180.791015625
2024-11-01 00:27:26.305305,3063,117839,417310549.1744156,2000,180.791015625
2024-11-01 00:28:50.496580,3037,112883,399505266.88818145,2000,180.966796875
2024-11-01 00:30:14.688855,3051,105023,372648232.4268935,2000,180.791015625
2024-11-01 00:31:42.417005,3066,107513,381068548.6268914,2000,180.791015625
2024-11-01 00:33:11.888290,3050,106323,376085232.11892796,2000,180.966796875
2024-11-01 00:34:41.361450,3050,104805,371133086.8078189,2000,180.791015625
2024-11-01 00:36:10.833735,3046,103023,364710128.2932316,2000,180.791015625
2024-11-01 00:37:40.305895,3042,99336,351790902.6461941,2000,180.791015625
2024-11-01 00:39:09.778180,3035,97778,346596971.88042843,2000,180.791015625
2024-11-01 00:40:39.250465,3025,97101,344205019.5615393,2000,180.791015625
2024-11-01 00:42:08.722625,3038,90230,320685810.24151695,2000,180.791015625
2024-11-01 00:43:38.194910,3027,97752,346261731.7159045,2000,180.966796875
2024-11-01 00:45:07.667060,3050,96992,343759298.64093894,2000,180.791015625
2024-11-01 00:46:37.139345,3056,91062,323359068.07806265,2000,180.966796875
2024-11-01 00:48:06.610630,3051,94656,335863910.92323184,2000,180.791015625
2024-11-01 00:49:36.839150,3042,91720,325614649.9476974,2000,180.791015625
2024-11-01 00:51:05.556075,3021,93026,330010885.04140925,2000,180.966796875
2024-11-01 00:52:35.333600,3037,89370,317567324.09754467,2000,180.791015625
2024-11-01 00:54:04.500645,3024,95637,338509270.1068617,2000,180.791015625
2024-11-01 00:55:33.972805,3026,96373,340745271.5679693,2000,180.966796875
2024-11-01 00:57:03.444090,3019,93574,331416932.65675217,2000,180.791015625
2024-11-01 00:58:32.917375,3042,93900,332223799.45153725,2000,180.791015625
2024-11-01 01:01:31.603820,3026,94845,335628299.71422756,2000,180.87890625
2024-11-01 01:03:00.819970,3055,94664,335038035.35298324,2000,180.791015625
2024-11-01 01:04:30.412550,3051,95447,337726141.5738573,2000,180.791015625
