Time,Total,Area,Exposure,Meas_exposure
2024-11-01 00:23:19.328615,1927867026.120656,1927867026.1206558,340896,2000,1924.3000000000002
2024-11-01 00:23:37.280645,1926029542.27816,1926029542.2781599,340896,2000,1924.3000000000002
2024-11-01 00:23:55.233800,1923813922.1525822,1923813922.1525822,340896,2000,1924.3000000000002
2024-11-01 00:25:19.425950,1926862816.5609515,1926862816.5609517,340896,2000,1924.3000000000002
2024-11-01 00:26:43.619100,1930754077.7603822,1930754077.7603827,340896,2000,1924.3000000000002
2024-11-01 00:28:07.811375,1928382918.4644136,1928382918.464414,340896,2000,1924.3000000000002
2024-11-01 00:29:32.265000,1925114383.82062,1925114383.82062,340896,2000,1924.3000000000002
2024-11-01 00:30:56.178800,1927455652.9881978,1927455652.9881978,340896,2000,1918.9
2024-11-01 00:32:25.651210,1928496639.8834624,1928496639.8834627,340896,2000,1924.3000000000002
2024-11-01 00:33:55.122370,1926518903.6886933,1926518903.6886933,340896,2000,1924.3000000000002
2024-11-01 00:35:24.595655,1927106307.7356226,1927106307.7356226,340896,2000,1918.9
2024-11-01 00:36:54.678150,1928903759.1425495,1928903759.1425495,340896,2000,1924.3000000000002
2024-11-01 00:38:23.539100,1927962100.5311027,1927962100.5311027,340896,2000,1924.3000000000002
2024-11-01 00:39:53.162600,1925927652.1794333,1925927652.179433,340896,2000,1924.3000000000002
2024-11-01 00:41:22.484535,1928904635.388126,1928904635.388126,340896,2000,1921.6000000000004
2024-11-01 00:42:51.955820,1924968811.2068346,1924968811.2068346,340896,2000,1924.3000000000002
2024-11-01 00:44:21.426980,1925905505.265685,1925905505.265685,340896,2000,1921.6000000000004
2024-11-01 00:45:50.899265,1925649020.04493,1925649020.0449295,340896,2000,1921.6000000000004
2024-11-01 00:47:20.370550,1927068621.6201375,1927068621.6201372,340896,2000,1924.3000000000002
2024-11-01 00:48:49.843710,1928850983.109367,1928850983.109367,340896,2000,1918.9
2024-11-01 00:50:19.315995,1928587671.1461473,1928587671.1461473,340896,2000,1924.3000000000002
2024-11-01 00:51:48.787280,1923496796.8422585,1923496796.8422587,340896,2000,1924.3000000000002
2024-11-01 00:53:18.260440,1925698612.3185635,1925698612.3185635,340896,2000,1924.3000000000002
2024-11-01 00:54:47.732725,1927451006.3131928,1927451006.3131928,340896,2000,1924.3000000000002
2024-11-01 00:56:17.205010,1924156419.8213124,1924156419.8213124,340896,2000,1921.6000000000004
2024-11-01 00:57:46.677170,1925397341.4327326,1925397341.4327326,340896,2000,1924.3000000000002
2024-11-01 00:59:16.149320,1929473954.0878978,1929473954.0878978,340896,2000,1924.3000000000002
2024-11-01 01:00:45.558605,1925460289.5116014,1925460289.5116014,340896,2000,1921.6000000000004
2024-11-01 01:02:14.773890,1925274178.9140885,1925274178.9140887,340896,2000,1924.3000000000002
2024-11-01 01:03:43.959175,1929905334.541773,1929905334.5417733,340896,2000,1921.6000000000004
2024-11-01 01:05:13.239460,1928746910.0373795,1928746910.0373795,340896,2000,1924.3000000000002
