Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-11-01 00:24:37.919880,3089,3164,3550.213616332601,409.7192858098702,4122,3736.4232577611747,507.1657657431932
2024-11-01 00:26:02.113030,3087,3229,3530.194777299242,404.42329088021376,3783,3712.8141075352205,503.31708719878975
2024-11-01 00:27:26.305305,3068,3171,3511.391258182455,399.09048104037697,4144,3688.02383713439,498.98207213236924
2024-11-01 00:28:50.496580,3046,3184,3494.1172024326675,393.0823485266034,4049,3670.4961028085545,492.7926233406166
2024-11-01 00:30:14.688855,3053,3194,3481.667165581436,392.7830634179689,4039,3651.7794093968378,492.947387666466
2024-11-01 00:31:42.417005,3054,3199,3486.9734487263227,393.09388106111277,4151,3660.1735002574665,494.1639034704789
2024-11-01 00:33:11.888290,3081,3148,3474.3150136665363,388.37268942880263,4010,3644.5566320126172,491.38403452664664
2024-11-01 00:34:41.361450,3057,3177,3469.035440685475,389.0897595955236,4009,3641.6586381687275,488.88317320132904
2024-11-01 00:36:10.833735,3068,3093,3467.9358239942608,386.2838214357554,4030,3640.14171183745,488.0716389415324
2024-11-01 00:37:40.305895,3041,3153,3462.7116024882816,385.9296109301266,4072,3629.020885871322,486.46118920582717
2024-11-01 00:39:09.778180,3041,3239,3459.7904725651206,385.62054437828334,3973,3631.6964575358465,484.9426946968629
2024-11-01 00:40:39.250465,3029,3100,3457.433112078346,386.88332701879955,4009,3627.6406705067634,488.3140109564731
2024-11-01 00:42:08.722625,3030,3084,3447.8565277898583,380.7497158788531,3960,3615.152304349236,481.8084815847672
2024-11-01 00:43:38.194910,3022,3081,3454.0422457101845,383.56206517603164,3991,3620.315775875989,484.9463988899537
2024-11-01 00:45:07.667060,3025,3094,3455.356277786295,387.13663888054793,4014,3621.65849609375,489.32786045985307
2024-11-01 00:46:37.139345,3049,3111,3443.2377771957395,387.2244784091288,3966,3613.5814753513127,491.4844168101628
2024-11-01 00:48:06.610630,3014,3241,3451.27076990233,394.75737514473144,4026,3619.4865760904895,488.1880631426705
2024-11-01 00:49:36.839150,3043,3172,3449.328126716316,385.298676831888,4038,3615.378078616865,489.73715504653336
2024-11-01 00:51:05.556075,3033,3090,3444.0006443087877,388.56901380233046,4009,3613.745471753533,492.3661363822032
2024-11-01 00:52:35.333600,3034,3094,3441.986683694074,384.55694641057534,4040,3609.909618330563,489.47080224980164
2024-11-01 00:54:04.500645,3041,3121,3443.275739952565,381.67687916889724,4090,3609.5494588142965,488.65887177830376
2024-11-01 00:55:33.972805,3020,3107,3440.8338348306092,383.4776423275368,4021,3606.0585750769433,491.3367395565342
2024-11-01 00:57:03.444090,3011,3096,3439.492563316664,381.0230945514624,4009,3608.472023422251,484.71962607848366
2024-11-01 00:58:32.917375,3027,3089,3439.563711443545,379.104125554175,3983,3599.796689691125,485.04879347558443
2024-11-01 01:01:31.603820,3033,3240,3443.187335467028,379.58003229847395,4034,3607.8942251223493,482.89053197934703
2024-11-01 01:03:00.819970,3038,3086,3444.3777418332443,380.39656745530243,4009,3605.621299073953,488.1497194676956
2024-11-01 01:04:30.412550,3032,3087,3443.7729082365227,379.9728406550129,4041,3606.2646560156504,483.9881882620151
2024-11-01 01:05:59.316540,3052,3107,3440.349783869496,380.85909597348,4004,3606.4498185028942,486.53725254222246
2024-11-01 01:07:28.564825,3024,3084,3438.2025939804967,384.98171514541554,3975,3609.411898866154,490.7915429335516
2024-11-01 01:08:57.813985,3028,3202,3442.997697888822,381.3993804809902,4023,3606.9875413920854,487.52865227540565
2024-11-01 01:10:27.932700,3014,3175,3440.978914252746,383.0003817573774,3980,3606.8257164478664,489.7742543751583
2024-11-01 01:11:56.341555,3029,3069,3439.984561151549,382.80848775289525,3994,3606.6958102035424,489.0441423130847
