Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-11-01 00:23:19.328615,4598,5070,7343.3774745186865,2180.6807051252395,10619,8725.493312244267,2253.119701437449
2024-11-01 00:23:37.280645,4635,5034,7337.095369143479,2175.1177259323194,7753,8714.929649623491,2242.607823084743
2024-11-01 00:23:55.233800,4624,4986,7312.518588176996,2172.549701229656,6722,8698.40485132481,2240.7635666847873
2024-11-01 00:25:19.425950,4728,5010,7330.827524565467,2194.225613519885,11092,8727.21473316674,2265.113848240149
2024-11-01 00:26:43.619100,4712,5311,7349.681406049123,2202.3764035227105,9986,8736.641053824751,2281.7815643429017
2024-11-01 00:28:07.811375,4649,5368,7311.377086750399,2170.8699002027893,9367,8694.739572632012,2243.6718059950867
2024-11-01 00:29:32.265000,4626,5450,7299.302862460618,2164.108379431422,10287,8660.186899652565,2236.8499783516254
2024-11-01 00:30:56.178800,4635,5430,7321.417559298261,2170.9889978282786,11063,8673.435361740208,2250.509858985509
2024-11-01 00:32:25.651210,4643,5150,7310.982079417187,2172.6695293091752,8822,8688.95520954798,2255.341781472457
2024-11-01 00:33:55.122370,4669,4991,7301.9864950031515,2157.096962367026,10618,8660.6057127144,2231.7178780899553
2024-11-01 00:35:24.595655,4645,5176,7316.636429045205,2186.172935121978,10977,8702.40386999036,2263.733325204709
2024-11-01 00:36:54.678150,4631,5354,7337.104731063897,2186.776208938068,10604,8723.253419257533,2264.28985763821
2024-11-01 00:38:23.539100,4613,5320,7346.279174895264,2182.0387971566065,11197,8707.495123884351,2254.8376752048343
2024-11-01 00:39:53.162600,4577,5028,7321.672058856616,2193.201532257845,10799,8714.82379870577,2273.3214477104166
2024-11-01 00:41:22.484535,4685,5059,7329.096577168374,2196.8169574268563,10853,8715.287303506651,2287.531086207877
2024-11-01 00:42:51.955820,4686,5042,7297.827437514074,2162.7975443995015,10613,8668.192986682267,2237.8419697335116
2024-11-01 00:44:21.426980,4672,4985,7303.472701893419,2166.217415749604,11304,8663.702788187162,2249.2780363930788
2024-11-01 00:45:50.899265,4759,5032,7315.820875170448,2197.1160609464737,11072,8699.42435640831,2290.172730134006
2024-11-01 00:47:20.370550,4726,5120,7309.237219458389,2192.8169067480476,10944,8723.076296347443,2276.943844237791
2024-11-01 00:48:49.843710,4603,5309,7336.679037645061,2206.102944623419,8848,8731.64994294803,2289.2069435688454
2024-11-01 00:50:19.315995,4702,4983,7334.199593059402,2199.996513864523,11109,8714.97021070477,2287.9197286813105
2024-11-01 00:51:48.787280,4622,5504,7310.620746803761,2187.4422732320622,10711,8683.951996660637,2291.4169113126663
2024-11-01 00:53:18.260440,4660,5025,7313.668540213539,2180.3795058440232,10852,8686.771762428265,2288.0201291420444
2024-11-01 00:54:47.732725,4698,5244,7307.123431690798,2185.737910849692,9941,8685.290477016479,2281.869550502472
2024-11-01 00:56:17.205010,4610,4880,7287.682342800211,2182.3826324290444,10750,8672.515363225582,2287.2974986804657
2024-11-01 00:57:46.677170,4586,5250,7304.601123658506,2188.547173670289,10905,8689.642780078655,2280.477117046595
2024-11-01 00:59:16.149320,4711,5207,7320.429479206712,2178.131440353276,10904,8686.014772489722,2284.8560987705396
2024-11-01 02:00:12.125330,4636,5299,7287.295794031755,2163.320184207477,10819,8666.42169092169,2242.7698198424887
2024-11-01 02:01:40.956615,4612,5197,7288.303746918469,2160.816402317339,10448,8646.172774687066,2254.513238809369
2024-11-01 02:03:09.789765,4649,5233,7292.973571989675,2162.4617703002054,10570,8640.833149323766,2256.1040904681204
2024-11-01 02:04:38.622050,4683,5233,7285.923006262113,2161.3970266243014,11017,8658.652249495863,2249.655979261286
2024-11-01 02:06:07.454335,4708,5245,7287.330824636518,2155.323680138569,11332,8654.352808911028,2238.3772297558085
2024-11-01 02:07:36.286495,4691,5291,7318.841076480891,2171.27326193159,11187,8697.552892762043,2250.714874575457
2024-11-01 02:09:05.118905,4668,5267,7336.795884378073,2182.4657185958017,10399,8767.261330929015,2235.772044795056
2024-11-01 02:10:33.951055,4636,4998,7348.305447819751,2213.2309698905956,11411,8789.4205230695,2273.1148032119386
2024-11-01 02:12:02.751340,4687,5324,7371.427141900937,2240.7749749434747,10507,8873.990196757655,2295.4026892373654
2024-11-01 02:13:31.551500,4639,4985,7551.116324568465,2635.515895421984,10314,9335.335060986145,2968.4404126516297
2024-11-01 02:14:05.663560,4586,5104,7614.071582112825,2765.583792759412,11110,9472.102938637385,3191.010562680389
2024-11-01 02:14:24.127590,4686,5057,7687.612730411539,2966.432739418979,9356,9643.100866742636,3534.901954760843
2024-11-01 02:14:42.591630,4765,5318,7780.879822224212,3197.994048581989,9808,9826.187058334488,3906.0304525632982
2024-11-01 02:15:02.461785,4631,5398,7803.297919978506,3243.324484101901,10741,9854.243626160454,3951.472463230636
2024-11-01 02:16:33.998945,4699,5074,7798.867856069628,3328.3270007054134,10101,9848.71136056543,4178.5998578227
2024-11-01 02:18:10.724250,4669,5162,7552.81394146473,2582.7276884797297,9452,9242.785089849442,2832.026570263689
2024-11-01 02:19:47.396545,4659,5068,7457.941537474843,2418.6754210517947,9366,9121.297648493293,2537.341499332009
2024-11-01 02:21:24.998400,4709,5246,7418.037934819973,2331.6006217738623,8401,9008.210706548327,2404.1252149836105
2024-11-01 02:23:00.805010,4568,5306,7380.415472588849,2291.2554853999086,11132,8931.22718763001,2358.918491306655
2024-11-01 02:24:37.509305,4687,5304,7351.151646659824,2235.622627545983,7527,8841.129632851922,2291.040421477888
2024-11-01 02:26:14.212610,4661,5384,7317.744339087807,2222.0765987844698,10495,8803.728424358751,2274.3055800829675
2024-11-01 02:27:50.917905,4748,5023,7304.447156928587,2192.1364544780968,11143,8740.359025308513,2249.2319953326164
2024-11-01 02:29:27.622200,4606,5204,7307.409356725147,2199.987586524617,10670,8769.153042688466,2269.001012760905
2024-11-01 02:31:04.325370,4666,4980,7354.439482294287,2329.128539748929,9380,8901.888207415668,2504.9615904171187
2024-11-01 02:32:41.286650,4591,5237,7311.843586547664,2229.833376282279,10958,8795.814468915529,2325.75925452068
2024-11-01 02:34:17.732970,4611,5162,7321.0052638607585,2220.797310078919,6803,8792.358656258712,2310.8594958105855
2024-11-01 02:35:54.436265,4687,5027,7296.8216296823875,2197.804823614145,9630,8749.513939224978,2282.3921355331895
2024-11-01 02:37:31.141435,4780,4944,7310.581684435442,2200.2110930802887,9593,8777.683928073599,2279.303893355192
2024-11-01 02:39:07.844730,4588,4971,7286.409813260922,2171.4398161842364,9321,8724.810391692223,2238.968589234547
2024-11-01 02:40:44.548900,4683,4944,7277.198012419595,2158.9507658477,10958,8716.224142737663,2227.4607037759947
2024-11-01 02:42:21.254205,4654,4956,7272.991008034899,2156.2259896824185,10229,8703.06948703652,2234.570727358484
2024-11-01 02:43:57.925500,4646,5065,7265.393509759843,2149.779636589377,10746,8683.941037078339,2223.8874120719693
2024-11-01 02:45:34.502795,4709,5132,7249.243962696699,2135.869878864478,10047,8650.869633398383,2213.2613982967528
2024-11-01 02:47:10.888090,4670,4924,7248.015402078836,2136.050476841961,7776,8648.620887928631,2235.3856711185904
2024-11-01 02:48:47.271260,4675,5134,7234.640187851945,2142.134243820576,10020,8634.654098132143,2240.290766698343
2024-11-01 02:50:23.655565,4621,5161,7243.432816221149,2133.956277519688,9575,8637.758433231113,2226.1253737979027
2024-11-01 02:52:00.104860,4698,5085,7237.832168532574,2139.9730976134615,9567,8639.5669082799,2233.1601487697944
2024-11-01 02:53:36.520155,4652,5151,7233.114491753656,2128.101102896137,8037,8628.832067187064,2210.0612245937614
2024-11-01 02:55:12.968450,4687,5348,7238.466146586837,2139.507882540074,7596,8638.50013939225,2242.2866710711705
2024-11-01 02:56:49.417620,4590,5085,7234.641278461572,2130.8580882417245,10026,8620.12939085587,2234.8996381066213
2024-11-01 02:58:25.864915,4683,4948,7220.316777582408,2120.582650091189,9936,8597.457659604126,2211.150820442656
