Time (UTC),10.00-30.00 keV
2024-11-01 00:16:03.753,125
2024-11-01 00:17:03.753,28
2024-11-01 00:18:03.753,31
2024-11-01 00:19:03.753,26
2024-11-01 00:20:03.753,9
2024-11-01 00:21:03.753,16
2024-11-01 00:22:03.753,13
2024-11-01 00:23:03.753,7
2024-11-01 00:24:03.753,10
2024-11-01 00:25:03.753,10
2024-11-01 00:26:03.753,15
2024-11-01 00:27:03.753,18
2024-11-01 00:28:03.753,16
2024-11-01 00:29:03.753,4
2024-11-01 00:30:03.753,17
2024-11-01 00:31:03.753,11
2024-11-01 00:32:03.753,9
2024-11-01 00:33:03.753,6
2024-11-01 00:34:03.753,3
2024-11-01 00:35:03.753,11
2024-11-01 00:36:03.753,18
2024-11-01 00:37:03.753,18
2024-11-01 00:38:03.753,12
2024-11-01 00:39:03.753,14
2024-11-01 00:40:03.753,19
2024-11-01 00:41:03.753,6
2024-11-01 00:42:03.753,4
2024-11-01 00:43:03.753,9
2024-11-01 00:44:03.753,11
2024-11-01 00:45:03.753,8
2024-11-01 00:46:03.753,20
2024-11-01 00:47:03.753,13
2024-11-01 00:48:03.753,8
2024-11-01 00:49:03.753,17
2024-11-01 00:50:03.753,15
2024-11-01 00:51:03.753,11
2024-11-01 00:52:03.753,9
2024-11-01 00:53:03.753,12
2024-11-01 00:54:03.753,7
2024-11-01 00:55:03.753,6
2024-11-01 00:56:03.753,8
2024-11-01 00:57:03.753,5
2024-11-01 00:58:03.753,4
2024-11-01 00:59:03.753,4
2024-11-01 01:00:03.753,4
2024-11-01 01:01:03.753,9
2024-11-01 01:02:03.753,7
2024-11-01 01:03:03.753,7
2024-11-01 01:04:03.753,10
2024-11-01 01:05:03.753,15
2024-11-01 01:06:03.753,7
2024-11-01 01:07:03.753,7
2024-11-01 01:08:03.753,10
2024-11-01 01:09:03.753,5
2024-11-01 01:10:03.753,6
2024-11-01 01:11:03.753,9
2024-11-01 01:12:03.753,6
2024-11-01 01:13:03.753,7
2024-11-01 01:14:03.753,17
2024-11-01 01:15:03.753,7
2024-11-01 01:16:03.753,5
2024-11-01 01:17:03.753,9
2024-11-01 01:18:03.753,6
2024-11-01 01:19:03.753,9
2024-11-01 01:20:03.753,12
2024-11-01 01:21:03.753,6
2024-11-01 01:22:03.753,7
2024-11-01 01:23:03.753,10
2024-11-01 01:24:03.753,18
2024-11-01 01:25:03.753,24
2024-11-01 01:26:03.753,13
2024-11-01 01:27:03.753,10
2024-11-01 01:28:03.753,6
2024-11-01 01:29:03.753,1
2024-11-01 01:30:03.753,4
2024-11-01 01:31:03.753,19
2024-11-01 01:32:03.753,355
2024-11-01 01:33:03.753,219
2024-11-01 01:34:03.753,77
2024-11-01 01:35:03.753,32
2024-11-01 01:36:03.753,14
2024-11-01 01:37:03.753,5
2024-11-01 01:38:03.753,10
2024-11-01 01:39:03.753,5
2024-11-01 01:40:03.753,12
2024-11-01 01:41:03.753,10
2024-11-01 01:42:03.753,11
2024-11-01 01:43:03.753,8
2024-11-01 01:44:03.753,12
2024-11-01 01:45:03.753,30
2024-11-01 01:46:03.753,12
2024-11-01 01:47:03.753,6
2024-11-01 01:48:03.753,9
2024-11-01 01:49:03.753,4
2024-11-01 01:50:03.753,3
2024-11-01 01:51:03.753,3
2024-11-01 01:52:03.753,2
2024-11-01 01:53:03.753,8
2024-11-01 01:54:03.753,8
2024-11-01 01:55:03.753,92
2024-11-01 01:56:03.753,40
2024-11-01 01:57:03.753,13
2024-11-01 01:58:03.753,3
2024-11-01 01:59:03.753,4
2024-11-01 02:00:03.753,3
2024-11-01 02:01:03.753,5
2024-11-01 02:02:03.753,5
2024-11-01 02:03:03.753,6
2024-11-01 02:04:03.753,7
2024-11-01 02:05:03.753,4
2024-11-01 02:06:03.753,6
2024-11-01 02:07:03.753,20
2024-11-01 02:08:03.753,71
2024-11-01 02:09:03.753,139
2024-11-01 02:10:03.753,396
2024-11-01 02:11:03.753,296
2024-11-01 02:12:03.753,323
2024-11-01 02:13:03.753,2106
2024-11-01 02:14:03.753,4938
2024-11-01 02:15:03.753,5823
2024-11-01 02:16:03.753,2792
2024-11-01 02:17:03.753,624
2024-11-01 02:18:03.753,139
2024-11-01 02:19:03.753,98
2024-11-01 02:20:03.753,93
2024-11-01 02:21:03.753,58
2024-11-01 02:22:03.753,102
2024-11-01 02:23:03.753,36
2024-11-01 02:24:03.753,18
2024-11-01 02:25:03.753,8
2024-11-01 02:26:03.753,6
2024-11-01 02:27:03.753,6
2024-11-01 02:28:03.753,18
2024-11-01 02:29:03.753,8
