time,mode,thresh_area,thresho_tot,exposure,shutter_angle
2024-11-01 00:24:47.807900,2562,168631,529955132.2789557,2000,1.494140625
2024-11-01 00:26:12.104000,2528,170527,536211622.81147915,2000,1.494140625
2024-11-01 00:27:36.193315,2476,170646,536446298.0902495,2000,1.494140625
2024-11-01 00:29:00.384590,2543,169865,534092046.8067688,2000,1.494140625
2024-11-01 00:30:24.576740,2575,170232,535944629.7833563,2000,1.494140625
2024-11-01 00:31:52.881025,2536,172435,542286034.5955734,2000,1.494140625
2024-11-01 00:33:22.352185,2578,174254,547913467.8188486,2000,1.494140625
2024-11-01 00:34:51.825595,2566,173146,544623154.458788,2000,1.494140625
2024-11-01 00:36:21.297755,2599,172888,543359713.3666165,2000,1.494140625
2024-11-01 00:37:50.769040,2704,174102,547432007.7950225,2000,1.494140625
2024-11-01 00:39:20.242200,2556,173858,546200585.0067937,2000,1.494140625
2024-11-01 00:40:49.714485,2619,174270,548032240.5021226,2000,1.494140625
2024-11-01 00:42:19.186770,2589,173499,545638253.0291187,2000,1.58203125
2024-11-01 00:43:48.658920,2580,174652,549072488.7297235,2000,1.494140625
2024-11-01 00:45:18.131205,2609,172675,542833812.4186608,2000,1.494140625
2024-11-01 00:46:47.603490,2598,173145,544726440.8770223,2000,1.494140625
2024-11-01 00:48:17.756500,2634,173789,546744084.0551546,2000,1.494140625
2024-11-01 00:49:46.547935,2520,174186,548558626.1785531,2000,1.494140625
2024-11-01 00:51:16.242200,2489,171969,541408324.27181,2000,1.494140625
2024-11-01 00:52:45.491380,2507,173103,544689304.0152912,2000,1.494140625
2024-11-01 00:54:14.964665,2602,175378,552674798.6474369,2000,1.494140625
2024-11-01 00:55:44.436825,2536,177544,559464990.8423693,2000,1.494140625
2024-11-01 00:57:13.906110,2666,176476,556117022.9608314,2000,1.494140625
2024-11-01 00:58:43.379270,2620,178346,562500637.6094422,2000,1.494140625
2024-11-01 01:00:12.852555,2527,177989,561367887.9399577,2000,1.494140625
2024-11-01 01:01:42.398300,2555,176377,556552524.2850854,2000,1.494140625
2024-11-01 01:03:11.252115,2664,178261,562133528.7749336,2000,1.494140625
2024-11-01 01:04:40.501400,2591,178625,563729238.5495591,2000,1.494140625
2024-11-01 01:06:09.748435,2679,178734,563861405.0626609,2000,1.494140625
2024-11-01 01:07:38.996720,2668,178184,562407168.6028917,2000,1.494140625
2024-11-01 01:09:08.246005,2568,177990,562036840.8220973,2000,1.58203125
2024-11-01 01:10:37.525290,2570,177271,559181865.0843381,2000,1.494140625
2024-11-01 01:12:06.773575,2571,176905,557977414.3421812,2000,1.494140625
2024-11-01 01:13:36.267250,2535,176125,555253692.6473771,2000,1.494140625
2024-11-01 01:15:05.302010,2580,175341,553155255.6809512,2000,1.494140625
2024-11-01 01:16:34.550295,2605,176667,557257245.2733114,2000,1.494140625
2024-11-01 01:18:03.799455,2644,177355,558664654.6371232,2000,1.494140625
2024-11-01 01:19:33.497400,2564,176545,556027958.7198313,2000,1.494140625
2024-11-01 01:21:02.294900,2655,176520,555987144.2229812,2000,1.494140625
2024-11-01 01:22:31.544185,2655,177591,558977101.1654874,2000,1.494140625
2024-11-01 01:24:00.760335,2608,176968,557572866.0597,2000,1.494140625
2024-11-01 01:25:30.762000,2480,175969,554171854.2348489,2000,1.494140625
2024-11-01 01:26:59.224905,2484,175170,551714187.3963231,2000,1.494140625
2024-11-01 01:28:28.441065,2519,174676,550073123.569487,2000,1.494140625
2024-11-01 01:29:57.656350,2584,173622,545596496.0095874,2000,1.494140625
2024-11-01 01:31:26.745635,2555,173869,546373165.8146348,2000,1.494140625
2024-11-01 01:32:55.834795,2516,173743,546531474.9409882,2000,1.494140625
2024-11-01 01:34:24.920080,2576,174423,548956351.4660187,2000,1.494140625
2024-11-01 01:35:54.835500,2586,175038,550495607.9689358,2000,1.494140625
2024-11-01 01:37:23.975150,2547,175151,551630565.9887251,2000,1.494140625
2024-11-01 01:38:52.184800,2531,175192,551889289.3433458,2000,1.494140625
2024-11-01 01:40:21.273085,2649,176545,555705940.7704022,2000,1.494140625
