TIME,COUNTS
2024-11-01 14:10:00.298,0
2024-11-01 14:10:30.298,0
2024-11-01 14:11:00.298,0
2024-11-01 14:11:30.298,1
2024-11-01 14:12:00.298,1
2024-11-01 14:12:30.298,0
2024-11-01 14:13:00.298,1
2024-11-01 14:13:30.298,1
2024-11-01 14:14:00.298,1
2024-11-01 14:14:30.298,1
2024-11-01 14:15:00.298,0
2024-11-01 14:15:30.298,0
2024-11-01 14:16:00.298,3
2024-11-01 14:16:30.298,0
2024-11-01 14:17:00.298,0
2024-11-01 14:17:30.298,0
2024-11-01 14:18:00.298,1
2024-11-01 14:18:30.298,0
2024-11-01 14:19:00.298,1
2024-11-01 14:19:30.298,2
2024-11-01 14:20:00.298,0
2024-11-01 14:20:30.298,1
2024-11-01 14:21:00.298,1
2024-11-01 14:21:30.298,1
2024-11-01 14:22:00.298,1
2024-11-01 14:22:30.298,4
2024-11-01 14:23:00.298,4
2024-11-01 14:23:30.298,24
2024-11-01 14:24:00.298,43
2024-11-01 14:24:30.298,92
2024-11-01 14:25:00.298,120
2024-11-01 14:25:30.298,91
2024-11-01 14:26:00.298,169
2024-11-01 14:26:30.298,137
2024-11-01 14:27:00.298,176
2024-11-01 14:27:30.298,107
2024-11-01 14:28:00.298,50
2024-11-01 14:28:30.298,70
2024-11-01 14:29:00.298,26
2024-11-01 14:29:30.298,15
2024-11-01 14:30:00.298,10
2024-11-01 14:30:30.298,10
2024-11-01 14:31:00.298,2
2024-11-01 14:31:30.298,3
2024-11-01 14:32:00.298,4
2024-11-01 14:32:30.298,0
2024-11-01 14:33:00.298,0
2024-11-01 14:33:30.298,1
2024-11-01 14:34:00.298,0
2024-11-01 14:34:30.298,3
2024-11-01 14:35:00.298,2
2024-11-01 14:35:30.298,0
2024-11-01 14:36:00.298,1
2024-11-01 14:36:30.298,0
2024-11-01 14:37:00.298,2
2024-11-01 14:37:30.298,1
2024-11-01 14:38:00.298,1
2024-11-01 14:38:30.298,0
2024-11-01 14:39:00.298,1
