,counts
2024-11-12 22:22:00,2.0
2024-11-12 22:23:00,1.0
2024-11-12 22:24:00,5.0
2024-11-12 22:25:00,0.0
2024-11-12 22:26:00,3.0
2024-11-12 22:27:00,4.0
2024-11-12 22:28:00,0.0
2024-11-12 22:29:00,2.0
2024-11-12 22:30:00,2.0
2024-11-12 22:31:00,3.0
2024-11-12 22:32:00,4.0
2024-11-12 22:33:00,6.0
2024-11-12 22:34:00,5.0
2024-11-12 22:35:00,4.0
2024-11-12 22:36:00,4.0
2024-11-12 22:37:00,6.0
2024-11-12 22:38:00,3.0
2024-11-12 22:39:00,3.0
2024-11-12 22:40:00,2.0
2024-11-12 22:41:00,5.0
2024-11-12 22:42:00,2.0
2024-11-12 22:43:00,4.0
2024-11-12 22:44:00,8.0
2024-11-12 22:45:00,3.0
2024-11-12 22:46:00,6.0
2024-11-12 22:47:00,3.0
2024-11-12 22:48:00,1.0
2024-11-12 22:49:00,3.0
2024-11-12 22:50:00,2.0
2024-11-12 22:51:00,2.0
2024-11-12 22:52:00,3.0
2024-11-12 22:53:00,6.0
2024-11-12 22:54:00,9.0
2024-11-12 22:55:00,10.0
2024-11-12 22:56:00,6.0
2024-11-12 22:57:00,1.0
2024-11-12 22:58:00,3.0
2024-11-12 22:59:00,3.0
2024-11-12 23:00:00,1.0
2024-11-12 23:01:00,5.0
2024-11-12 23:02:00,4.0
2024-11-12 23:03:00,4.0
2024-11-12 23:04:00,4.0
2024-11-12 23:05:00,1.0
2024-11-12 23:06:00,1.0
2024-11-12 23:07:00,7.0
2024-11-12 23:08:00,4.0
2024-11-12 23:09:00,2.0
2024-11-12 23:10:00,5.0
2024-11-12 23:11:00,9.0
2024-11-12 23:12:00,4.0
2024-11-12 23:13:00,3.0
2024-11-12 23:14:00,2.0
2024-11-12 23:15:00,3.0
2024-11-12 23:16:00,7.0
2024-11-12 23:17:00,4.0
2024-11-12 23:18:00,4.0
2024-11-12 23:19:00,7.0
2024-11-12 23:20:00,2.0
2024-11-12 23:21:00,4.0
2024-11-12 23:22:00,3.0
2024-11-12 23:23:00,4.0
2024-11-12 23:24:00,9.0
2024-11-12 23:25:00,1.0
2024-11-12 23:26:00,5.0
2024-11-12 23:27:00,18.0
2024-11-12 23:28:00,11.0
2024-11-12 23:29:00,4.0
2024-11-12 23:30:00,2.0
2024-11-12 23:31:00,2.0
2024-11-12 23:32:00,1.0
2024-11-12 23:33:00,2.0
2024-11-12 23:34:00,4.0
2024-11-12 23:35:00,7.0
2024-11-12 23:36:00,8.0
2024-11-12 23:37:00,1.0
2024-11-12 23:38:00,3.0
2024-11-12 23:39:00,2.0
2024-11-12 23:40:00,5.0
2024-11-12 23:41:00,8.0
2024-11-12 23:42:00,4.0
2024-11-12 23:43:00,6.0
2024-11-12 23:44:00,4.0
2024-11-12 23:45:00,4.0
2024-11-12 23:46:00,3.0
2024-11-12 23:47:00,3.0
2024-11-12 23:48:00,5.0
2024-11-12 23:49:00,7.0
2024-11-12 23:50:00,5.0
2024-11-12 23:51:00,3.0
2024-11-12 23:52:00,0.0
2024-11-12 23:53:00,5.0
2024-11-12 23:54:00,4.0
2024-11-12 23:55:00,5.0
2024-11-12 23:56:00,9.0
2024-11-12 23:57:00,7.0
2024-11-12 23:58:00,8.0
2024-11-13 00:00:00,4.0
2024-11-13 00:01:00,4.0
2024-11-13 00:02:00,3.0
2024-11-13 00:03:00,9.0
2024-11-13 00:04:00,20.0
2024-11-13 00:05:00,8.0
2024-11-13 00:06:00,0.0
2024-11-13 00:07:00,5.0
2024-11-13 00:08:00,4.0
2024-11-13 00:09:00,7.0
2024-11-13 00:10:00,10.0
2024-11-13 00:11:00,0.0
2024-11-13 00:12:00,7.0
2024-11-13 00:13:00,6.0
2024-11-13 00:14:00,15.0
2024-11-13 00:15:00,23.0
2024-11-13 00:16:00,28.0
2024-11-13 00:17:00,245.0
2024-11-13 00:18:00,1395.0
2024-11-13 00:19:00,1445.0
2024-11-13 00:20:00,935.0
2024-11-13 00:21:00,541.0
2024-11-13 00:22:00,267.0
2024-11-13 00:23:00,165.0
2024-11-13 00:24:00,72.0
2024-11-13 00:25:00,50.0
2024-11-13 00:26:00,27.0
2024-11-13 00:27:00,18.0
2024-11-13 00:28:00,13.0
2024-11-13 00:29:00,6.0
2024-11-13 00:30:00,11.0
2024-11-13 00:31:00,9.0
2024-11-13 00:32:00,3.0
2024-11-13 00:33:00,3.0
2024-11-13 00:34:00,7.0
2024-11-13 00:35:00,15.0
2024-11-13 00:36:00,2.0
2024-11-13 00:37:00,3.0
