 & Peak time & Peak total count
1 & 2024-11-01 00:26:43.619 & 23.71 & -\\
2 & 2024-11-01 00:36:54.678 & 17.29 & -\\
3 & 2024-11-01 00:39:53.162 & 12.60 & -\\
4 & 2024-11-01 00:48:49.843 & 9.26 & -\\
5 & 2024-11-01 00:53:18.260 & 6.57 & -\\
6 & 2024-11-01 00:57:46.677 & 11.97 & -\\
7 & 2024-11-01 01:03:43.959 & 18.78 & -\\
8 & 2024-11-01 01:06:42.486 & 17.97 & -\\
9 & 2024-11-01 01:15:38.440 & 4.49 & -\\
10 & 2024-11-01 01:21:35.350 & 9.80 & -\\
11 & 2024-11-01 01:24:33.495 & 11.69 & -\\
12 & 2024-11-01 01:29:01.176 & 21.12 & -\\
13 & 2024-11-01 01:36:26.714 & 9.49 & -\\
14 & 2024-11-01 01:40:53.979 & 23.99 & -\\
15 & 2024-11-01 01:45:21.243 & 34.39 & -\\
16 & 2024-11-01 01:51:17.596 & 18.19 & -\\
17 & 2024-11-01 01:55:44.861 & 45.63 & -\\
18 & 2024-11-01 02:00:12.125 & 11.76 & -\\
