T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024.11.12_22:15:00_TAI,2041.114624,2048.571045,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:13:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.890869,148017513490.9,3.304238,3.069625,2290,179.929871
2024.11.12_22:15:45_TAI,2041.113647,2048.573486,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:14:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.890503,148017565369.92,3.297335,3.069538,2290,179.929916
2024.11.12_22:16:30_TAI,2041.099609,2048.573486,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:15:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.890198,148017617509.75,3.290431,3.06945,2290,179.929886
2024.11.12_22:17:15_TAI,2041.086914,2048.571777,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:16:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.889832,148017669909.64,3.283528,3.069362,2290,179.929871
2024.11.12_22:18:00_TAI,2041.086914,2048.534912,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:16:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.889465,148017722568.93,3.276625,3.069274,2290,179.929794
2024.11.12_22:18:45_TAI,2041.08252,2048.519043,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:17:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.88916,148017775486.88,3.269723,3.069186,2290,179.92981
2024.11.12_22:19:30_TAI,2041.077271,2048.483398,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:18:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.888794,148017828662.61,3.26282,3.069098,2290,179.929749
2024.11.12_22:20:15_TAI,2041.07605,2048.483398,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:19:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.888428,148017882095.38,3.255917,3.06901,2290,179.929779
2024.11.12_22:21:00_TAI,2041.079834,2048.483398,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:19:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.888123,148017935784.5,3.249015,3.068922,2290,179.929871
2024.11.12_22:21:45_TAI,2041.088257,2048.484131,0.0,0.0,0.504032,0.504032,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:20:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.887756,148017989729.22,3.242112,3.068834,2290,179.929947
2024.11.12_22:22:30_TAI,2041.088257,2048.520508,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:21:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.88739,148018043928.66,3.23521,3.068745,2290,179.929825
2024.11.12_22:23:15_TAI,2041.097046,2048.534668,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:22:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.887024,148018098382.06,3.228308,3.068657,2290,179.92981
2024.11.12_22:24:00_TAI,2041.136597,2048.541992,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:22:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.886658,148018153088.73,3.221406,3.068568,2290,179.929718
2024.11.12_22:24:45_TAI,2041.15979,2048.555176,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:23:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.886292,148018208047.9,3.214504,3.06848,2290,179.929855
2024.11.12_22:25:30_TAI,2041.174927,2048.551758,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:24:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.885925,148018263258.69,3.207603,3.068391,2290,179.929764
2024.11.12_22:26:15_TAI,2041.17627,2048.556641,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:25:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.885559,148018318720.32,3.200701,3.068303,2290,179.929779
2024.11.12_22:27:00_TAI,2041.174927,2048.556885,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:25:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.885254,148018374432.08,3.1938,3.068214,2290,179.92984
2024.11.12_22:27:45_TAI,2041.169922,2048.556885,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:26:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.884827,148018430393.21,3.186898,3.068125,2290,179.929901
2024.11.12_22:28:30_TAI,2041.162354,2048.554443,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:27:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.88446,148018486602.8,3.179997,3.068036,2290,179.929779
2024.11.12_22:29:15_TAI,2041.157104,2048.533936,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:28:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.884094,148018543060.06,3.173096,3.067947,2290,179.929855
2024.11.12_22:30:00_TAI,2041.150146,2048.531006,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:28:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.883728,148018599764.29,3.166195,3.067858,2290,179.929779
2024.11.12_22:30:45_TAI,2041.141479,2048.531006,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:29:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.883362,148018656714.69,3.159295,3.067769,2290,179.929749
2024.11.12_22:31:30_TAI,2041.140137,2048.533691,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:30:25.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.882996,148018713910.38,3.152394,3.06768,2290,179.92981
2024.11.12_22:32:15_TAI,2041.140869,2048.52832,0.0,0.0,0.504032,0.504032,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:31:10.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.882629,148018771350.52,3.145494,3.067591,2290,179.929779
2024.11.12_22:33:00_TAI,2041.140015,2048.531006,0.0,0.0,0.504032,0.504032,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:31:55.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.882263,148018829034.42,3.138593,3.067502,2290,179.929825
2024.11.12_22:33:45_TAI,2041.133179,2048.539062,0.0,0.0,0.504031,0.504031,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-12T22:32:40.20Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,969.881836,148018886961.27,3.131693,3.067413,2290,179.929932
